m, repeat_after, max_value, most_common_tail_value, cycle_length, cycle_max, cycle_min, distinct_tail_values
700, 277023487, 10046, 5154, 701, 5158, 5130, 5
701, 98910797, 9518, 5846, 8424, 5846, 5800, 8
702, 511616272, 9904, 5846, 7733, 5846, 5800, 8
703, 504716762, 9946, 5898, 704, 5898, 5888, 3
704, 7684288, 9838, 5846, 9165, 5846, 5800, 8
705, 238935812, 9722, 5846, 7060, 5846, 5800, 8
706, 91103748, 9722, 5898, 707, 5898, 5888, 3
707, 188573288, 10036, 5786, 708, 5788, 5778, 4
708, 128305279, 9896, 5786, 709, 5788, 5778, 4
709, 65829306, 9626, 5846, 5680, 5846, 5800, 8
710, 28329469, 9740, 5786, 711, 5788, 5778, 4
711, 192018564, 9950, 5898, 712, 5898, 5888, 3
712, 38877480, 10274, 5898, 713, 5898, 5888, 3
713, 116132207, 9674, 5846, 4284, 5846, 5800, 8
714, 12075956, 9278, 5846, 5005, 5846, 5800, 8
715, 84707584, 9788, 5898, 716, 5898, 5888, 3
716, 101462433, 9767, 5816, 2151, 5846, 5800, 8
717, 66169906, 9906, 5846, 2872, 5846, 5800, 8
718, 19824983, 9574, 5786, 719, 5788, 5778, 4
719, 106469216, 10265, 5846, 4320, 5846, 5800, 8
720, 82984986, 10198, 5898, 721, 5898, 5888, 3
721, 18999323, 9574, 5898, 722, 5898, 5888, 3
722, 16908968, 9722, 5786, 723, 5788, 5778, 4
723, 24496718, 9586, 5882, 443260, 6086, 5720, 152
724, 51666481, 9839, 5816, 2175, 5846, 5800, 8
725, 5703042, 9868, 5882, 804432, 5924, 5778, 54
726, 94127144, 10356, 5802, 727, 5806, 5802, 3
727, 71832387, 9894, 5898, 728, 5898, 5888, 3
728, 33415879, 10020, 5882, 134136, 5886, 5840, 17
729, 11674474, 9942, 5898, 730, 5898, 5888, 3
730, 2344672, 9254, 5898, 731, 5898, 5888, 3
731, 536813942, 10522, 5898, 732, 5898, 5888, 3
732, 83372608, 10415, 5898, 733, 5898, 5888, 3
733, 52900083, 10216, 5864, 1, 5864, 5864, 1
734, 171787464, 10443, 5898, 735, 5898, 5888, 3
735, 467692291, 10808, 5898, 736, 5898, 5888, 3
736, 142105507, 10526, 5154, 737, 5158, 5130, 5
737, 383852087, 11306, 6086, 116808, 6446, 5538, 595
738, 454805961, 10586, 5714, 62006109, 10196, 3010, 6780
739, 357420708, 10825, 5714, 90888249, 10732, 3030, 7068
740, 1092030586, 10574, 5982, 6690, 6122, 5922, 57
741, 1544332879, 10708, 5714, 721746099, 10708, 3024, 7384
742, 17770515, 10236, 5966, 1487, 5982, 5950, 8
743, 304052694, 10754, 5714, 156061977, 10574, 3092, 7080
744, 790024628, 10618, 5966, 1491, 5982, 5950, 8
745, 179919863, 10604, 6008, 2242, 6086, 5976, 21
746, 485852376, 10586, 4938, 748, 4946, 4912, 9
747, 344743356, 10482, 6214, 93672, 6418, 5832, 379
748, 371279690, 10522, 6086, 9260806, 9634, 3225, 6214
749, 74031802, 10420, 6086, 179611, 6418, 5898, 321
750, 232995326, 10554, 6214, 121108, 6350, 5895, 290
751, 363555530, 10826, 5714, 207447846, 10826, 3072, 7328
752, 261840982, 10562, 6086, 55016, 6226, 5964, 155
753, 149032083, 10748, 6214, 5297, 6214, 6016, 55
754, 78942913, 10459, 6126, 32522, 6234, 6000, 125
755, 48222572, 10826, 6056, 756, 6056, 6052, 2
756, 48965889, 10328, 6056, 757, 6056, 6052, 2
757, 40159541, 10690, 6056, 2275, 6086, 6052, 8
758, 82762586, 10328, 6126, 582186, 6242, 6056, 68
759, 435654327, 10594, 6214, 6858, 6226, 6068, 54
760, 15748371, 10300, 6130, 6091, 6226, 6056, 45
761, 67692397, 10484, 6214, 768, 6214, 6096, 15
762, 77692105, 10333, 6094, 1526, 6128, 6090, 9
763, 155421847, 10978, 6214, 943548, 6234, 6096, 52
764, 391389204, 10878, 6214, 6129, 6234, 6108, 33
765, 79235425, 11238, 6152, 1536, 6214, 6132, 15
766, 338091246, 10766, 6214, 769, 6214, 6144, 7
767, 59525987, 10654, 6234, 768, 6238, 6210, 4
768, 634715967, 10900, 6214, 4616, 6218, 6140, 21
769, 397925676, 11030, 6154, 2314, 6202, 6138, 19
770, 207120364, 10594, 6214, 772, 6214, 6160, 4
771, 38310829, 10636, 6194, 776, 6198, 6164, 10
772, 520155619, 11002, 6234, 773, 6238, 6210, 4
773, 1506238986, 11127, 6234, 774, 6238, 6210, 4
774, 812112803, 11304, 6234, 775, 6238, 6210, 4
775, 51188691, 10946, 6346, 2334, 6346, 6194, 21
776, 250863119, 11236, 6234, 777, 6238, 6210, 4
777, 182014563, 10784, 5158, 778, 5158, 5130, 5
778, 366337791, 10902, 6234, 779, 6238, 6210, 4
779, 751162744, 11338, 6234, 780, 6238, 6210, 4
780, 409838341, 11198, 6234, 781, 6238, 6210, 4
781, 89721595, 10694, 6214, 782, 6218, 6192, 3
782, 538001459, 11146, 6234, 783, 6238, 6210, 4
783, 260447747, 11432, 6234, 784, 6238, 6210, 4
784, 837420651, 11282, 6234, 785, 6238, 6210, 4
785, 427009398, 10886, 6214, 786, 6218, 6192, 3
786, 306752580, 11344, 6234, 787, 6238, 6210, 4
787, 753683605, 11278, 5158, 788, 5158, 5130, 5
788, 3746333446, 11638, 6234, 789, 6238, 6210, 4
789, 362362964, 11237, 6234, 790, 6238, 6210, 4
790, 110233710, 10804, 6234, 791, 6238, 6210, 4
791, 40647127, 10833, 4938, 793, 4946, 4912, 8
792, 626556091, 11420, 6234, 793, 6238, 6210, 4
793, 944820642, 11578, 6234, 794, 6238, 6210, 4
794, 712557941, 11276, 6234, 795, 6238, 6210, 4
795, 673697438, 11302, 6234, 796, 6238, 6210, 4
796, 1622633200, 11806, 6234, 797, 6238, 6210, 4
797, 11194327, 10742, 6234, 798, 6238, 6210, 4
798, 2795823358, 11642, 6234, 799, 6238, 6210, 4
799, 315621904, 11878, 5158, 800, 5158, 5130, 5
