m, repeat_after, max_value
166, 1069487, 2036
167, 34532, 2038
168, 116229, 2018
169, 319657, 2194
170, 126301, 1948
171, 148095, 2182
172, 87457, 2238
173, 404757, 2108
174, 43383, 2018
175, 85432, 2074
176, 98337, 2319
177, 561682, 2282
178, 85019, 2274
179, 1742028, 2266
180, 132432, 2102
181, 737524, 2302
182, 89322, 2194
183, 111986, 2312
184, 572522, 2298
185, 46228, 1964
186, 582203, 2386
187, 691492, 2274
188, 149118, 2374
189, 34914, 2131
190, 134076, 2323
191, 55528, 2374
192, 346316, 2374
193, 235370, 2302
194, 515789, 2342
195, 330022, 2406
196, 471118, 2402
197, 38342, 2342
198, 501286, 2418
199, 352071, 2490
200, 88690, 2382
201, 194723, 2526
202, 2155947, 2638
203, 105600, 2342
204, 578880, 2566
205, 331158, 2538
206, 231118, 2436
207, 770339, 2721
208, 239993, 2630
209, 522343, 2594
210, 512233, 2814
211, 979783, 2650
212, 528869, 2638
213, 1702961, 2804
214, 32932, 2504
215, 2687443, 2770
216, 328240, 2726
217, 624355, 2731
218, 469475, 2638
219, 69174, 2521
220, 901164, 2866
221, 530844, 2691
222, 60850, 2503
223, 675905, 2896
224, 70652, 2822
225, 1124866, 2944
226, 3153959, 2866
227, 1853230, 2878
228, 421281, 2758
229, 246944, 2759
230, 4008242, 3062
231, 93454, 2518
232, 1509839, 3022
233, 692734, 3204
234, 802345, 2974
235, 1730132, 3014
236, 3210214, 3062
237, 3478515, 3156
238, 463963, 2931
239, 497925, 3154
240, 844399, 3058
241, 960706, 3088
242, 1335494, 3118
243, 1690106, 3364
244, 1450694, 3156
245, 190589, 2935
246, 69415, 2719
247, 1127887, 3136
248, 257913, 3286
249, 404233, 2918
250, 66933, 2933
251, 326688, 3149
252, 3533912, 3544
253, 1643347, 3508
254, 1022349, 3284
255, 94515, 2954
256, 463044, 3316
257, 122013, 3106
258, 3747175, 3516
259, 151322, 3478
260, 718194, 3386
261, 1797764, 3482
262, 291409, 3452
263, 642305, 3609
264, 57620, 2634
265, 100323, 3286
266, 63552, 2725
267, 626402, 3494
268, 474808, 3418
269, 426646, 3478
270, 2800195, 3594
271, 1838156, 3586
272, 4560800, 3662
273, 804929, 3382
274, 18256, 3554
275, 194528, 3153
276, 1090619, 3418
277, 1538567, 3776
278, 1561106, 3646
279, 53280, 2994
280, 527690, 3922
281, 572893, 3637
282, 883126, 3693
283, 46618, 3209
284, 1919372, 3838
285, 1854632, 3643
286, 695557, 3820
287, 3062221, 4375
288, 284095, 3687
289, 770498, 3658
290, 1347556, 3962
291, 203872, 3646
292, 2962468, 3868
293, 758932, 3646
294, 3181758, 4084
295, 766049, 3958
296, 1286825, 3868
297, 386868, 3858
298, 622180, 3742
299, 62822, 3056
300, 502985, 3670
301, 270130, 4018
302, 793169, 3852
303, 1444749, 3902
304, 350293, 3851
305, 172406, 4072
306, 359749, 3853
307, 3035354, 4375
308, 1244221, 4092
309, 555346, 3938
310, 883824, 4071
311, 324041, 3849
312, 519382, 3847
313, 818323, 4198
314, 5675748, 4375
315, 2211790, 4156
316, 579108, 4076
317, 4731223, 4400
318, 2896502, 4506
319, 3379440, 4379
320, 324114, 3964
321, 80180, 3637
322, 5836419, 4375
323, 2050237, 4504
324, 2468938, 4408
325, 3558583, 4414
326, 1700005, 4318
327, 188495, 3643
328, 592659, 4122
329, 146372, 4262
330, 1571698, 4106
331, 2461274, 4548
332, 1602649, 4402
333, 945453, 4634
334, 5709101, 4586
335, 330455, 3812
336, 25664, 3553
337, 1142326, 4672
338, 3409247, 4678
339, 310234, 3964
340, 1173167, 4314
341, 2772709, 4951
342, 3501886, 4630
343, 62160, 3369
344, 3136938, 4636
345, 2098090, 4994
346, 5418205, 5216
347, 4717622, 5018
348, 1518003, 4542
349, 73621, 3846
350, 5582252, 5098
351, 656363, 4738
352, 3954875, 4618
353, 1034464, 4742
354, 271255, 4210
355, 165939, 4016
356, 528043, 5209
357, 217664, 4316
358, 555162, 5213
359, 217086, 4038
360, 1191342, 4622
361, 197623, 4327
362, 1579649, 4927
363, 1078182, 4568
364, 1942900, 5195
365, 1256139, 5178
366, 645190, 5226
367, 1373836, 5378
368, 348077, 4619
369, 3015159, 5358
370, 332538, 4892
371, 928692, 4678
372, 171069, 4685
373, 475857, 4534
374, 972343, 4834
375, 697277, 4506
376, 1698101, 5223
