m, repeat_after, max_value, most_common_tail_value, cycle_length, cycle_max, cycle_min, distinct_tail_values
131, 22426, 1453, 834, 8316, 838, 810, 9
132, 24603, 1338, 834, 8645, 838, 810, 9
133, 24005, 1464, 838, 8978, 838, 810, 9
134, 58267, 1582, 1074, 135, 1074, 1072, 2
135, 39393, 1606, 838, 138, 842, 810, 9
136, 53897, 1582, 838, 139, 842, 810, 9
137, 23618, 1502, 838, 140, 842, 810, 9
138, 9419, 1348, 746, 139, 746, 720, 4
139, 46787, 1610, 838, 142, 842, 810, 9
140, 3215, 1322, 842, 142, 842, 816, 8
141, 14881, 1622, 838, 144, 842, 810, 9
142, 23184, 1625, 842, 144, 842, 816, 6
143, 79282, 1622, 838, 146, 842, 810, 9
144, 36087, 1478, 838, 147, 842, 810, 9
145, 11091, 1451, 746, 146, 746, 720, 4
146, 74591, 1846, 842, 148, 842, 816, 6
147, 10464, 1562, 766, 148, 766, 762, 3
148, 23631, 1492, 842, 150, 842, 816, 6
149, 110753, 1772, 758, 150, 758, 752, 3
150, 86018, 1762, 842, 152, 842, 816, 6
151, 131892, 1882, 842, 154, 842, 810, 9
152, 145779, 1838, 766, 153, 766, 762, 3
153, 24212, 1796, 746, 154, 746, 720, 4
154, 51815, 1870, 842, 157, 842, 810, 9
155, 234637, 1874, 842, 157, 842, 816, 6
156, 257600, 1862, 842, 159, 842, 810, 9
157, 69193, 2026, 842, 160, 842, 810, 9
158, 192407, 1826, 842, 160, 842, 824, 5
159, 221148, 2052, 681, 1121, 683, 663, 13
160, 32321, 1900, 842, 163, 842, 810, 9
161, 14084, 1444, 842, 164, 842, 810, 9
162, 291722, 2102, 842, 165, 842, 810, 9
163, 36930, 1994, 842, 165, 842, 816, 6
164, 218832, 1948, 842, 166, 842, 816, 6
165, 62467, 1966, 681, 831, 683, 664, 12
166, 1069487, 2036, 1342, 1510, 1402, 1314, 24
167, 34532, 2038, 1336, 1, 1336, 1336, 1
168, 116229, 2018, 1342, 28904, 1402, 1326, 34
169, 319657, 2194, 1342, 170, 1346, 1332, 3
170, 126301, 1948, 1394, 177, 1402, 1352, 15
