value,count
5720,1
5727,1
5731,1
5737,1
5743,1
5746,1
5749,1
5751,1
5753,1
5754,1
5755,1
5756,1
5760,2
5762,239
5763,1421
5764,2
5766,238
5767,9
5769,2
5770,8
5772,4
5773,2
5774,244
5776,3
5777,2
5778,8
5780,1
5781,717
5782,11
5783,2
5784,1
5785,4
5786,5671
5787,1
5788,7
5789,1
5790,40
5792,9
5794,29
5796,10
5798,5974
5800,12
5802,4833
5804,8
5806,38
5808,18
5810,10
5812,2
5814,55
5816,1438
5818,42
5820,10
5822,4281
5824,25
5826,3669
5828,22
5830,106
5832,18
5834,64
5836,44
5838,192
5840,36
5842,3006
5844,53
5846,35396
5848,50
5850,176
5852,36
5854,116
5856,444
5858,2523
5860,32
5862,5837
5864,8812
5866,6885
5868,49
5870,4761
5872,429
5874,4027
5876,12
5878,171
5880,11
5882,317679
5884,11
5886,158
5888,3
5890,58
5892,3
5894,5448
5896,11
5898,4088
5900,4
5902,1155
5904,9
5906,12
5908,1
5910,44
5912,1418
5914,12
5916,2
5918,3534
5920,6
5922,32
5924,1
5926,13
5928,3
5930,733
5932,1
5934,1405
5936,4
5938,1404
5940,1
5942,1393
5946,29
5948,3
5952,2
5958,1
5966,2
5970,1
5972,1
5976,3
5978,4
5982,704
5984,3
5986,701
5988,2
5990,1
5992,1
5994,1
5996,1
5998,2
6000,3
6002,1
6004,1
6006,1
6008,2
6014,1
6016,1
6020,1
6024,2
6028,1
6030,1
6032,1
6042,1
6044,1
6050,2
6058,4
6060,2
6076,2
6078,696
6082,1
6086,4
