value,count
2178,1
2192,3
2196,2
2198,3
2200,1
2202,3
2203,3
2204,3
2205,3
2206,306
2207,7
2208,4
2210,2
2211,14
2212,4
2213,3
2214,3
2215,191
2216,3
2217,21
2219,13
2220,7
2221,7
2222,4
2223,6
2225,4
2226,15
2227,175
2228,8
2229,6
2230,28
2231,23
2232,6
2233,12
2234,351
2235,10
2236,8
2237,18
2238,17
2239,18
2240,17
2241,35
2242,9
2243,4
2244,11
2245,430
2246,423
2247,89
2248,6
2249,82
2250,4
2251,123
2252,7
2253,72
2254,15
2255,13
2256,3
2257,413
2258,48
2259,31
2260,9
2261,79
2262,14
2263,126
2264,51
2265,389
2266,6
2267,407
2268,27
2269,325
2270,36
2271,259
2272,11
2273,54
2274,35
2275,138
2276,13
2277,54
2278,27
2279,1501
2280,22
2281,243
2282,25
2283,942
2284,4
2285,1684
2286,28
2287,127
2288,12
2289,12
2290,16
2291,99
2292,4
2293,41
2294,79
2295,56
2296,24
2297,64
2298,91
2299,93
2300,38
2301,423
2302,1854
2303,296
2304,42
2305,6090
2306,32
2307,2887
2308,23
2309,339
2310,36
2311,49
2312,11
2313,35
2314,27
2315,318
2316,21
2317,143
2318,24
2319,313
2320,13
2321,470
2322,32
2323,686
2324,19
2325,61
2326,252
2327,1248
2328,22
2329,740
2330,26
2331,155
2332,21
2333,100
2334,54
2335,537
2336,44
2337,910
2338,144
2339,940
2340,73
2341,919
2342,2440
2343,123
2344,91
2345,382
2346,35
2347,194
2348,64
2349,344
2350,90
2351,487
2352,24
2353,1291
2354,62
2355,1004
2356,10
2357,558
2358,124
2359,8940
2360,54
2361,1866
2362,92
2363,690
2364,25
2365,612
2366,106
2367,217
2368,68
2369,5241
2370,149
2371,624
2372,122
2373,33
2374,4734
2375,124
2376,111
2377,89
2378,214
2379,578
2380,49
2381,483
2382,418
2383,529
2384,60
2385,63
2386,3856
2387,269
2388,107
2389,96
2390,68
2391,1987
2392,57
2393,173
2394,83
2395,133
2396,104
2397,74
2398,461
2399,43
2400,123
2401,93
2402,3750
2403,133
2404,225
2405,291
2406,190
2407,599
2408,106
2409,562
2410,168
2411,360
2412,72
2413,3226
2414,180
2415,340
2416,66
2417,272
2418,184
2419,1015
2420,75
2421,1069
2422,344
2423,1290
2424,68
2425,322
2426,2410
2427,3041
2428,188
2429,1729
2430,223
2431,949
2432,168
2433,584
2434,914
2435,3558
2436,87
2437,632
2438,86
2439,183
2440,36
2441,283
2442,99
2443,341
2444,126
2445,481
2446,590
2447,123
2448,65
2449,1960
2450,229
2451,344
2452,227
2453,592
2454,546
2455,2146
2456,178
2457,578
2458,6383
2459,232
2460,305
2461,1601
2462,169
2463,953
2464,193
2465,1736
2466,66
2467,950
2468,19
2469,7789
2470,100
2471,2744
2472,54
2473,600
2474,872
2475,411
2476,140
2477,287
2478,137
2479,2151
2480,211
2481,991
2482,182
2483,2490
2484,213
2485,1799
2486,195
2487,3053
2488,69
2489,10055
2490,191
2491,3395
2492,121
2493,734
2494,147
2495,3187
2496,194
2497,3143
2498,827
2499,428
2500,183
2501,2565
2502,186
2503,648
2504,219
2505,2000
2506,149
2507,2522
2508,194
2509,9427
2510,289
2511,1570
2512,84
2513,5209
2514,548
2515,5502
2516,106
2517,9173
2518,6271
2519,7004
2520,281
2521,1352
2522,93
2523,158
2524,67
2525,276
2526,138
2527,306
2528,203
2529,2028
2530,101
2531,1844
2532,52
2533,743
2534,30
2535,142
2536,215
2537,861
2538,76
2539,168
2540,187
2541,441
2542,123
2543,252
2544,48
2545,1387
2546,165
2547,1807
2548,198
2549,1745
2550,175
2551,471
2552,54
2553,122
2554,139
2555,406
2556,48
2557,261
2558,580
2559,2173
2560,134
2561,463
2562,387
2563,257
2564,239
2565,481
2566,3707
2567,1111
2568,153
2569,1672
2570,462
2571,657
2572,108
2573,2265
2574,524
2575,323
2576,182
2577,2597
2578,344
2579,479
2580,110
2581,438
2582,955
2583,207
2584,58
2585,606
2586,137
2587,729
2588,88
2589,3547
2590,476
2591,426
2592,203
2593,48
2594,10012
2595,544
2596,258
2597,116
2598,1227
2599,2391
2600,211
2601,91
2602,8561
2603,639
2604,396
2605,448
2606,521
2607,707
2608,77
2609,148
2610,125
2611,3616
2612,42
2613,184
2614,637
2615,1851
2616,149
2617,263
2618,214
2619,869
2620,223
2621,138
2622,198
2623,3001
2624,316
2625,313
2626,695
2627,842
2628,215
2629,863
2630,1031
2631,1704
2632,221
2633,402
2634,2401
2635,1085
2636,475
2637,593
2638,17111
2639,2369
2640,678
2641,2263
2642,2567
2643,9960
2644,179
2645,2616
2646,170
2647,2146
2648,63
2649,1542
2650,64
2651,1017
2652,34
2653,820
2654,108
2655,430
2656,33
2657,548
2658,59
2659,207
2660,40
2661,2115
2662,104
2663,507
2664,80
2665,1783
2666,168
2667,508
2668,99
2669,7389
2670,174
2671,1223
2672,214
2673,475
2674,302
2675,1070
2676,346
2677,1461
2678,652
2679,508
2680,217
2681,2453
2682,425
2683,827
2684,430
2685,1012
2686,303
2687,1093
2688,154
2689,938
2690,657
2691,364
2692,458
2693,581
2694,995
2695,209
2696,260
2697,2785
2698,771
2699,676
2700,252
2701,10238
2702,719
2703,1263
2704,149
2705,5241
2706,583
2707,1661
2708,107
2709,1080
2710,131
2711,640
2712,113
2713,1353
2714,301
2715,1110
2716,101
2717,2810
2718,668
2719,2817
2720,193
2721,11774
2722,582
2723,3974
2724,165
2725,1376
2726,703
2727,2264
2728,145
2729,2687
2730,708
2731,2043
2732,347
2733,911
2734,2301
2735,1623
2736,315
2737,213
2738,91
2739,1355
2740,152
2741,299
2742,474
2743,4200
2744,94
2745,470
2746,1296
2747,1831
2748,219
2749,514
2750,397
2751,512
2752,110
2753,700
2754,440
2755,1113
2756,227
2757,2499
2758,2984
2759,4759
2760,388
2761,2000
2762,22144
2763,450
2764,878
2765,720
2766,952
2767,573
2768,393
2769,949
2770,965
2771,1142
2772,235
2773,4251
2774,812
2775,907
2776,419
2777,548
2778,800
2779,1639
2780,266
2781,3614
2782,789
2783,1823
2784,300
2785,13032
2786,784
2787,7191
2788,481
2789,1560
2790,695
2791,340
2792,265
2793,166
2794,743
2795,523
2796,488
2797,458
2798,2036
2799,2516
2800,417
2801,2396
2802,937
2803,536
2804,672
2805,300
2806,1200
2807,1057
2808,290
2809,461
2810,1153
2811,1047
2812,258
2813,1262
2814,1082
2815,1096
2816,171
2817,1537
2818,516
2819,1952
2820,156
2821,389
2822,1033
2823,2069
2824,193
2825,300
2826,1215
2827,2112
2828,306
2829,552
2830,539
2831,2519
2832,269
2833,624
2834,1513
2835,468
2836,433
2837,675
2838,1410
2839,992
2840,292
2841,3920
2842,374
2843,796
2844,147
2845,1786
2846,1107
2847,866
2848,303
2849,1031
2850,1362
2851,1578
2852,423
2853,1256
2854,1297
2855,8012
2856,358
2857,1110
2858,822
2859,956
2860,265
2861,399
2862,436
2863,504
2864,103
2865,882
2866,2415
2867,619
2868,154
2869,2639
2870,1395
2871,608
2872,391
2873,1049
2874,1736
2875,1155
2876,480
2877,4879
2878,7439
2879,1384
2880,733
2881,15969
2882,1266
2883,1928
2884,269
2885,6014
2886,1158
2887,1895
2888,177
2889,1475
2890,440
2891,744
2892,269
2893,4371
2894,1830
2895,1792
2896,310
2897,961
2898,1377
2899,5256
2900,260
2901,3291
2902,1751
2903,924
2904,266
2905,354
2906,1943
2907,1089
2908,68
2909,520
2910,561
2911,2441
2912,113
2913,1148
2914,4098
2915,1218
2916,471
2917,847
2918,36834
2919,2171
2920,1053
2921,3208
2922,455
2923,10089
2924,259
2925,1458
2926,342
2927,1076
2928,413
2929,3838
2930,629
2931,3117
2932,605
2933,6230
2934,1320
2935,5125
2936,424
2937,3369
2938,1704
2939,2295
2940,495
2941,12500
2942,11717
2943,5800
2944,953
2945,3489
2946,291
2947,15899
2948,104
2949,13990
2950,238
2951,9259
2952,269
2953,2103
2954,549
2955,693
2956,488
2957,457
2958,1052
2959,1632
2960,233
2961,639
2962,1184
2963,417
2964,150
2965,1149
2966,2049
2967,1475
2968,419
2969,1667
2970,899
2971,1328
2972,646
2973,971
2974,4171
2975,322
2976,640
2977,1060
2978,450
2979,632
