value,count
5410,10
5414,116
5416,4
5418,2
5420,1
5421,1
5422,1
5425,10
5428,2
5429,6
5433,288
5436,3
5438,4
5440,1
5443,3
5447,1
5449,1
5450,6
5453,1
5454,5
5456,4
5457,6
5458,46
5459,1
5460,1
5461,59
5462,1
5464,1
5465,18
5466,3
5467,2
5468,3
5469,5
5470,3
5471,2
5472,6
5473,6
5474,3
5475,2
5476,1
5477,2
5478,1
5479,3
5480,1
5481,14
5482,3
5483,2
5485,101
5486,6
5487,11
5488,3
5489,187
5490,4
5491,8
5492,2
5493,261
5494,8
5495,31
5496,3
5497,34
5498,72
5499,27
5500,1
5501,33
5502,1
5503,18
5504,9
5505,101
5506,5
5507,47
5508,6
5509,534
5510,4
5511,63
5512,3
5513,53
5514,3
5515,665
5516,6
5517,262
5518,4
5519,233
5520,5
5521,59
5522,11
5523,18
5524,12
5525,9
5526,13
5527,29
5528,9
5529,44
5530,8
5531,42
5532,9
5533,244
5534,109
5535,31
5536,11
5537,19
5538,6
5539,66
5540,8
5541,41
5542,17
5543,53
5544,10
5545,44
5546,13
5547,34
5548,7
5549,46
5550,15
5551,178
5552,9
5553,87
5554,3
5555,141
5556,10
5557,272
5558,8
5559,157
5560,6
5561,865
5562,5
5563,163
5564,9
5565,19
5566,4
5567,183
5568,6
5569,33
5570,11
5571,105
5572,9
5573,116
5574,41
5575,43
5576,13
5577,52
5578,340
5579,397
5580,24
5581,82
5582,7
5583,91
5584,6
5585,376
5586,11
5587,95
5588,9
5589,41
5590,16
5591,23
5592,12
5593,63
5594,23
5595,63
5596,9
5597,184
5598,14
5599,280
5600,11
5601,175
5602,17
5603,75
5604,26
5605,65
5606,54
5607,78
5608,23
5609,449
5610,8
5611,289
5612,41
5613,252
5614,26
5615,345
5616,11
5617,148
5618,19
5619,223
5620,56
5621,38
5622,14
5623,26
5624,14
5625,64
5626,23
5627,175
5628,56
5629,155
5630,47
5631,79
5632,33
5633,157
5634,60
5635,63
5636,59
5637,491
5638,358
5639,78
5640,37
5641,134
5642,37
5643,46
5644,19
5645,323
5646,17
5647,104
5648,61
5649,88
5650,38
5651,91
5652,18
5653,109
5654,103
5655,91
5656,24
5657,75
5658,85
5659,106
5660,17
5661,25
5662,44
5663,269
5664,31
5665,139
5666,632
5667,1066
5668,65
5669,207
5670,111
5671,126
5672,27
5673,310
5674,30
5675,68
5676,51
5677,1866
5678,42
5679,353
5680,26
5681,198
5682,69
5683,348
5684,38
5685,301
5686,261
5687,1285
5688,28
5689,1340
5690,57
5691,301
5692,20
5693,89
5694,58
5695,927
5696,50
5697,386
5698,71
5699,5163
5700,28
5701,1025
5702,292
5703,504
5704,37
5705,274
5706,213
5707,300
5708,52
5709,444
5710,303
5711,382
5712,96
5713,2251
5714,3959
5715,402
5716,198
5717,104
5718,222
5719,758
5720,87
5721,532
5722,1536
5723,5335
5724,80
5725,548
5726,25
5727,1307
5728,18
5729,1251
5730,32
5731,6530
5732,27
5733,755
5734,63
5735,2498
5736,31
5737,890
5738,68
5739,12273
5740,32
5741,2476
5742,88
5743,762
5744,100
5745,416
5746,114
5747,4727
5748,101
5749,1424
5750,154
5751,287
5752,82
5753,864
5754,232
5755,810
5756,169
5757,803
5758,1508
5759,1883
5760,103
5761,3445
5762,347
5763,1587
5764,68
5765,1945
5766,266
5767,5973
5768,58
5769,1412
5770,276
5771,3603
5772,93
5773,3148
5774,3508
5775,677
5776,147
5777,2343
5778,43
5779,610
5780,30
5781,1365
5782,38
5783,253
5784,26
5785,10720
5786,97
5787,4990
5788,54
5789,48610
5790,103
5791,13082
5792,102
5793,397
5794,258
5795,4093
5796,53
5797,1887
5798,127
5799,21561
5800,93
5801,5195
5802,344
5803,1847
5804,195
5805,417
5806,2631
5807,423
5808,150
5809,556
5810,30
5811,1543
5812,18
5813,820
