value,count
4336,4
4338,2
4340,1
4342,1074
4344,1
4346,36589
4347,5
4348,137
4350,139
4351,3
4352,4
4354,37800
4355,1605
4356,3
4357,3
4358,144
4359,1
4360,2
4362,36859
4363,3
4364,139
4366,38343
4367,3
4368,368
4370,140
4371,1
4372,4
4373,2
4374,145
4375,2
4376,95
4377,2
4378,36875
4379,1
4380,318
4381,1
4382,369
4384,91
4386,504
4388,225
4390,3
4392,141
4394,84852
4396,91
4398,972
4400,326
4402,1613
4404,3
4406,330
4408,138
4410,141
4412,5
4414,151
4416,138
4418,5
4420,1
4422,1000
4424,2
4426,231
4428,4
4430,172235
4432,3
4434,36809
4436,139
4438,38175
4440,2
4442,2
4444,5
4446,5
4448,5
4450,10
4452,5
4454,546
4456,3
4458,1
4460,3
4462,11
4466,180
4468,5
4470,527
4474,526
4476,1
4478,875
4480,1
4488,1
4490,1
4496,1
4504,1
