value,count
3030,1
3034,3
3038,3
3040,1
3042,1
3044,3
3046,44
3047,1
3048,1
3058,1
3059,15
3060,1
3061,2
3063,44
3064,1
3065,1
3068,1
3073,1
3075,1
3076,1
3077,12
3078,1
3079,1
3081,4
3083,3
3085,4
3087,20
3089,5
3090,1
3091,38
3092,1
3093,20
3094,3
3095,44
3097,36
3098,1
3099,41
3101,13
3102,1
3103,23
3105,11
3106,33
3107,27
3108,2
3109,31
3112,1
3113,53
3115,44
3116,2
3117,150
3119,114
3120,1
3121,49
3126,8
3128,1
3129,7
3130,12
3131,4
3132,1
3133,25
3134,53
3135,11
3136,4
3137,3
3138,1
3139,16
3140,1
3141,11
3143,55
3144,5
3145,33
3147,128
3148,1
3149,65
3150,1
3151,72
3153,82
3154,2
3155,110
3156,3
3157,60
3158,3
3159,9
3160,4
3161,199
3163,174
3164,3
3165,9
3167,6
3168,1
3169,10
3171,9
3172,2
3173,16
3174,4
3175,30
3177,103
3179,145
3180,4
3181,244
3182,2
3183,28
3184,3
3185,37
3186,2
3187,22
3188,1
3189,73
3190,3
3191,48
3192,3
3193,275
3194,15
3195,51
3196,1
3197,101
3198,4
3199,154
3200,6
3201,145
3202,13
3203,135
3204,3
3205,345
3206,2
3207,300
3208,1
3209,200
3210,3
3211,3
3212,2
3214,2
3215,3
3216,4
3217,1
3218,4
3219,19
3220,7
3221,2
3222,6
3223,69
3224,4
3225,7
3226,1
3227,6
3228,4
3229,22
3230,4
3231,6
3232,8
3233,78
3234,10
3235,32
3236,5
3237,11
3238,254
3239,15
3240,10
3241,12
3242,58
3243,7
3244,12
3245,29
3246,6
3247,24
3248,6
3249,21
3250,20
3251,28
3252,9
3253,4
3254,86
3255,9
3256,16
3257,37
3258,10
3259,5
3260,4
3261,63
3262,23
3263,46
3264,12
3265,222
3266,19
3267,25
3268,15
3269,251
3270,19
3271,64
3272,2
3273,77
3274,23
3275,53
3276,21
3277,201
3278,19
3279,144
3280,3
3281,176
3282,24
3283,78
3284,18
3285,77
3286,18
3287,191
3288,20
3289,228
3290,17
