value,count
8626,1
8630,1
8634,17
8636,1
8638,2
8642,1050
8644,1
8646,2
8650,14
8654,17
8656,3
8658,6
8660,1
8662,2126
8664,4
8666,4
8670,12
8672,1
8674,15
8676,3
8678,12
8680,7
8682,551
8684,7
8686,3742
8688,10
8690,15
8692,6
8694,17
8696,3222
8698,18
8700,10
8702,3211
8704,11
8706,1080
8708,6
8710,37
8712,12
8714,32
8716,13
8718,13902
8720,13
8722,1631
8724,6
8726,1626
8728,1089
8730,17
8732,23
8734,19
8736,14
8738,22
8740,13
8742,24
8744,1066
8746,25
8748,5
8750,22
8752,4
8754,1623
8756,7
8758,1105
8760,8
8762,1648
8764,3
8766,20
8768,12
8770,3209
8772,4
8774,4273
8776,6397
8778,6
8780,5
8782,6
8784,10
8786,1072
8788,8
8790,7
8792,5
8794,14
8796,3
8798,3211
8800,3
8802,16
8806,20
8810,28
8814,33
8818,11
8822,6359
8826,1083
8828,3
8830,4
