value,count
3092,2
3094,2
3096,1
3102,2
3106,7
3107,1
3114,1
3116,1
3118,2
3120,1
3122,1
3124,1
3127,1
3130,1
3131,2
3132,1
3133,1
3134,3
3135,8
3137,9
3138,2
3139,8
3141,5
3142,6
3143,10
3144,1
3145,6
3147,18
3149,13
3151,10
3152,1
3153,5
3155,3
3157,112
3158,10
3159,19
3160,3
3161,54
3163,161
3164,1
3165,58
3167,82
3169,102
3171,1
3173,5
3174,4
3175,10
3177,15
3178,1
3179,68
3180,1
3181,87
3183,6
3184,6
3185,41
3186,3
3187,7
3188,2
3189,68
3190,4
3191,28
3192,2
3193,41
3194,3
3195,31
3197,63
3198,6
3199,99
3200,3
3201,125
3202,4
3203,166
3204,4
3205,279
3206,2
3207,217
3208,3
3209,193
3210,10
3211,7
3212,2
3214,20
3215,7
3216,2
3218,22
3219,6
3220,7
3221,2
3222,3
3223,4
3224,5
3225,4
3226,4
3227,6
3228,3
3229,7
3230,5
3231,2
3232,1
3233,9
3234,7
3235,20
3236,3
3237,11
3238,23
3239,1
3240,9
3241,10
3242,44
3243,11
3244,4
3245,20
3246,4
3247,77
3248,2
3249,20
3250,12
3251,30
3252,5
3253,9
3254,73
3255,8
3256,11
3257,26
3258,10
3259,7
3260,4
3261,67
3262,10
3263,20
3264,6
3265,113
3266,11
3267,25
3268,12
3269,138
3270,11
3271,63
3272,5
3273,126
3274,8
3275,55
3276,16
3277,216
3278,25
3279,142
3280,3
3281,138
3282,16
3283,73
3284,10
3285,55
3286,19
3287,283
3288,14
3289,219
3290,11
3291,321
3292,3
3293,751
3294,5
3295,812
3296,8
3297,660
3298,5
3299,401
3300,7
3301,729
3302,22
3303,317
3304,9
3305,669
3306,16
3307,536
3308,16
3309,28
3310,25
3311,24
3312,12
3313,62
3314,79
3315,21
3316,25
3317,136
3318,25
3319,101
3320,16
3321,25
3322,10
3323,68
3324,2
3325,15
3326,50
3327,455
3328,14
3329,154
3330,25
3331,7
3332,18
3333,209
3334,39
3335,35
3336,11
3337,1482
3338,32
3339,155
3340,9
3341,477
3342,17
3343,244
3344,14
3345,502
3346,40
3347,300
3348,21
3349,2309
3350,28
3351,941
3352,25
3353,928
3354,16
3355,677
3356,11
3357,1066
3358,43
3359,1326
3360,22
3361,844
3362,29
3363,8
3364,26
3365,200
3366,16
3367,99
3368,18
3369,427
3370,20
3371,161
3372,16
3373,107
3374,10
3375,47
3376,13
3377,91
3378,27
3379,212
3380,19
3381,63
3382,33
3383,178
3384,18
3385,231
3386,65
3387,625
3388,35
3389,166
3390,19
3391,56
3392,4
3393,74
3394,106
3395,21
3396,11
3397,196
3398,21
3399,58
