value,count
3750,1
3755,1
3759,1
3762,1
3763,1
3765,1
3766,1
3772,2
3773,3
3775,1
3777,1
3780,2
3782,1
3784,2
3790,1
3794,1
3796,2
3797,2
3798,1
3800,2
3801,935
3804,2
3805,2
3806,473
3807,1
3808,2
3809,3
3810,2
3811,3
3812,2
3813,927
3814,7
3815,1
3816,3
3817,3
3818,473
3819,22
3820,4
3822,15
3823,2
3824,6
3825,1
3826,14
3827,2
3828,4
3829,2
3830,4
3832,949
3833,3
3834,3
3835,451
3836,6
3837,3
3838,1381
3840,3
3841,2
3842,948
3843,1
3844,5
3845,2
3846,474
3848,2
3849,2
3850,11
3851,1
3856,2
3858,2308
3862,34
3864,1
3866,13
3868,1
3870,3
3872,2
3878,9
3882,1
3886,12
3888,1
3890,7
3894,4
3898,4
3902,6
3914,450
3918,1
