value,count
4998,5
5002,40
5004,1
5006,9
5010,6
5012,1
5014,623
5016,4
5018,58
5020,4
5022,207
5024,6
5026,615
5028,15
5030,931
5032,10
5034,1224
5036,8
5038,2594
5040,9
5042,605
5044,10
5046,13
5050,5
5052,5
5054,318
5056,1
5058,639
5060,5
5062,949
5064,5
5066,30
5068,2
5070,230
5072,6
5074,644
5076,2
5078,436
5080,4
5082,370
5084,19
5086,429
5088,24
5090,798
5092,31
5094,5137
5096,14
5098,3333
5100,157
5102,1852
5104,322
5106,304
5108,1
5110,143
5112,310
5114,772
5116,28
5118,3108
5120,5
5122,1021
5124,5
5126,1555
5128,2281
5130,925
5132,307
5134,25
5136,3
5138,1333
5140,8
5142,1259
5144,6
5146,1307
5148,2
5150,59217
5152,1
5154,70948
5156,3
5158,58519
5160,2
5162,4
5166,3
5168,1
5172,1
5174,1
5176,2
5178,18
5180,2
5182,2
5186,1
5192,1
5196,2
5198,1
5200,1
5202,3
5204,1
5206,1
5208,2
5210,2
5214,1
5218,8
5222,1
5226,3
5230,2
5236,2
5238,2
5242,1
5246,1
5248,2
5250,1
5254,5
5258,8
5260,4
5262,6
5266,9
5268,2
5274,2
5276,2
5278,4
5282,137
5286,227
5290,206
5294,199
5298,245
5302,153
5306,2
