value,count
5964,1
5968,1
5974,6
5976,1
5978,1
5982,2
5984,1
5986,5
5990,1
5991,2
5992,1
5994,2
5996,3
5998,1
6000,1
6002,1
6004,1
6006,2
6007,1
6010,4
6012,5
6014,1481
6015,1466
6016,8
6018,7
6019,4
6020,1
6022,7
6023,3
6024,7
6025,2
6026,2239
6027,373
6028,4
6030,11
6031,374
6032,12
6033,1
6034,2978
6035,1
6036,7
6037,2
6038,13
6039,1
6040,9
6041,1
6042,22
6043,1
6044,15
6046,16
6047,2
6048,12
6050,25
6052,17
6053,2
6054,12
6055,3
6056,2968
6057,1
6058,744
6060,23
6061,2
6062,765
6063,2
6064,5
6065,1
6066,381
6067,1
6068,4
6069,1
6070,4466
6072,9
6073,2
6074,388
6075,2
6076,22
6077,2
6078,2237
6080,8
6081,1
6082,15
6083,1
6084,4
6085,2
6086,6664
6087,1
6088,2963
6090,24
6091,1
6092,10
6094,3684
6095,1
6096,11
6098,18
6099,743
6100,7
6102,5
6103,3
6104,9
6105,2
6106,751
6108,15
6110,24
6112,13
6114,2264
6116,20
6118,44
6120,17
6122,14
6124,3
6126,3344
6128,3
6130,3336
6132,1
6134,8
6136,2
6138,4
6140,1
6142,9
6144,10
6146,737
6150,7
6152,2212
6154,8
6158,7
6160,16
6162,7
6164,4
6166,9
6168,1
6170,738
6172,1
6174,5
6176,3
6178,5
6180,3
6182,758
6184,10
6186,12
6188,2
6190,742
6192,9
6194,7
6196,3
6198,8
6200,1
6202,3
6204,2
6206,4
6210,1
6212,1
6214,4418
6218,2
6220,1
6226,1
