value,count
10058,1
10062,1
10064,1
10070,494
10074,4
10076,2
10078,4
10080,502
10082,7
10084,3
10086,4
10088,3
10090,508
10092,2
10094,12
10098,19
10100,7
10102,12
10104,1
10106,13
10108,1
10110,514
10112,2
10114,9683
10116,10
10118,34
10120,10
10122,48
10124,3
10126,2547
10128,6
10130,12380
10132,6
10134,35
10136,7
10138,40
10140,10
10142,31
10144,515
10146,23
10148,516
10150,24
10152,517
10154,23
10156,4
10158,2477
10160,3
10162,23
10164,4
10166,24
10168,15
10170,538
10172,5
10174,33
10176,523
10178,4281
10180,6
10182,64
10184,5
10186,9706
10188,5
10190,31
10192,3
10194,634042
10196,524
10198,1013
10200,3
10202,1
10206,2
10210,2478
10214,2
10224,1
10226,1
10234,1
10238,2
10240,1
10242,3
10244,1
10246,8
10248,1
10250,1
10256,1
10258,5
10260,1
10262,1238
10264,1
10266,2
10270,1
10274,7
10276,1
10278,1
10280,1
10288,2
10290,1
10294,1
10296,1
10302,1
10306,1
10314,1
10322,7
10324,1
10326,1
10332,2
10334,1
10336,1
10356,4
10362,1
10370,1
10374,1
10378,2
10398,1227
