value,count
5336,1
5341,1
5343,1
5344,2
5349,2
5351,1
5352,1
5354,1
5356,1
5358,1
5361,1
5362,1
5363,1
5364,1
5365,2
5366,3
5368,2
5369,11
5370,4
5371,10
5372,4
5373,23
5374,4
5375,33
5376,5
5377,85
5378,53
5379,85
5380,7
5381,68
5382,4
5383,344
5384,3
5385,192
5386,6
5387,157
5388,6
5389,392
5390,4
5391,167
5392,1
5393,158
5394,2
5395,78
5396,8
5397,145
5398,5
5399,145
5400,5
5401,927
5402,9
5403,641
5404,10
5405,117
5406,10
5407,101
5408,5
5409,137
5410,12
5411,704
5412,13
5413,220
5414,29
5415,10
5416,2
5417,19
5418,15
5419,18
5420,6
5421,36
5422,28
5423,20
5424,17
5425,194
5426,16
5427,60
5428,12
5429,524
5430,10
5431,335
5432,11
5433,641
5434,18
5435,701
5436,16
5437,164
5438,248
5439,27
5440,22
5441,22
5442,23
5443,32
5444,13
5445,12
5446,40
5447,630
5448,15
5449,44
5450,44
5451,19
5452,16
5453,28
5454,15
5455,320
5456,16
5457,123
5458,353
5459,54
5460,41
5461,669
5462,24
5463,52
5464,21
5465,281
5466,23
5467,136
5468,23
5469,325
5470,35
5471,210
5472,26
5473,152
5474,33
5475,28
5476,8
5477,27
5478,12
5479,22
5480,5
5481,134
5482,48
5483,36
5484,15
5485,783
5486,43
5487,85
5488,19
5489,794
5490,44
5491,113
5492,24
5493,1859
5494,36
5495,356
5496,16
5497,660
5498,355
5499,390
5500,28
5501,466
5502,21
5503,341
5504,57
5505,783
5506,102
5507,756
5508,34
5509,4568
5510,48
5511,953
5512,19
5513,1121
5514,37
5515,4556
5516,48
5517,2627
5518,58
5519,1993
5520,38
5521,1189
5522,119
5523,13
5524,82
5525,90
5526,145
5527,60
5528,47
5529,148
5530,74
5531,85
5532,67
5533,712
5534,2098
5535,294
5536,107
5537,209
5538,67
5539,1638
5540,66
5541,1317
5542,72
5543,893
5544,103
5545,772
5546,150
5547,409
5548,84
5549,1794
5550,129
5551,1378
5552,62
5553,1290
5554,140
5555,1420
5556,112
5557,2857
5558,67
5559,1276
5560,41
5561,12772
5562,84
5563,1803
5564,82
5565,225
5566,106
5567,1178
5568,38
5569,233
5570,196
5571,773
5572,127
5573,907
5574,432
5575,505
5576,142
5577,458
5578,4153
5579,2953
5580,236
5581,773
5582,355
5583,557
5584,67
5585,3735
5586,131
5587,1228
5588,137
5589,561
5590,155
5591,292
5592,115
5593,830
5594,364
5595,967
5596,131
5597,7413
5598,320
5599,6276
5600,151
5601,3559
5602,1764
5603,1360
5604,289
5605,903
5606,2807
5607,775
5608,356
5609,3964
5610,135
5611,4130
5612,419
5613,3612
5614,284
5615,4324
5616,135
5617,2261
5618,209
5619,1504
5620,530
5621,563
5622,254
5623,432
5624,158
5625,906
5626,349
5627,1842
5628,577
5629,3481
5630,453
5631,1860
5632,453
5633,2514
5634,787
5635,917
5636,762
5637,6302
5638,5831
5639,1382
5640,559
5641,1389
5642,452
5643,704
5644,354
5645,5955
5646,407
5647,1509
5648,714
5649,2529
5650,569
5651,2544
5652,324
5653,2780
5654,1421
5655,1867
5656,347
5657,1420
5658,1094
5659,2048
5660,319
5661,606
5662,825
5663,6882
5664,475
5665,3764
5666,4337
5667,31170
5668,887
5669,6766
5670,1262
5671,2301
5672,446
5673,3335
5674,795
5675,901
5676,786
5677,15396
5678,555
5679,3719
5680,248
5681,2863
5682,981
5683,4122
5684,548
5685,4070
5686,4405
5687,15001
5688,419
5689,15718
5690,543
5691,4846
5692,221
5693,1305
5694,984
5695,14549
5696,710
5697,5772
5698,1046
5699,79053
5700,369
5701,16403
5702,3350
5703,6243
5704,585
5705,3501
5706,2919
5707,3293
5708,974
5709,5947
5710,5479
5711,5910
5712,1528
5713,24636
5714,52173
5715,7206
5716,2568
5717,2246
5718,2497
5719,12294
5720,1273
5721,10927
5722,12951
5723,86425
5724,900
5725,9963
5726,420
5727,20633
5728,257
5729,21139
5730,531
5731,96190
5732,309
5733,12603
5734,858
5735,38823
5736,439
5737,13501
5738,1107
5739,192638
5740,471
5741,36581
5742,1019
5743,12734
5744,1117
5745,6275
5746,1558
5747,82033
5748,1426
5749,22335
5750,1975
5751,4132
5752,1006
5753,12963
5754,2691
5755,14640
5756,3034
5757,10914
5758,20167
5759,24058
5760,1794
5761,44761
5762,4176
5763,21714
5764,1018
5765,21382
5766,3151
5767,84950
5768,974
5769,18502
5770,3413
5771,48825
5772,1340
5773,39679
5774,33528
5775,9233
5776,1809
5777,37987
5778,459
5779,8149
5780,478
5781,22092
5782,674
5783,3652
5784,478
5785,128331
5786,1137
5787,65231
5788,669
5789,564212
5790,1780
5791,164829
5792,1603
5793,5798
5794,4861
5795,55964
5796,910
5797,26246
5798,1701
5799,251909
5800,1645
5801,75560
5802,4954
5803,22889
5804,3363
5805,6915
5806,37095
5807,7293
5808,2472
5809,9930
5810,281
5811,24817
5812,255
5813,12969
5814,546
5815,95009
5816,922
5817,26711
5818,2245
5819,54933
5820,1428
5821,75054
5822,940
5823,32864
5824,455
5825,37020
5826,1026
5827,58712
5828,814
5829,25755
5830,1688
5831,5673
5832,1394
5833,86772
5834,8030
5835,21843
5836,2213
5837,86962
5838,2002
5839,24548
5840,1802
5841,11804
5842,1577
5843,11677
5844,817
5845,28136
5846,1827
5847,92665
5848,1052
5849,31081
5850,2420
5851,32613
5852,1385
5853,3350
5854,3123
5855,8394
5856,2123
5857,1883
5858,1835
5859,1841
5860,1086
5861,2063
5862,1371
5863,5018
5864,1136
5865,5795
5866,1929
5867,6712
5868,1403
5869,6502
5870,2519
5871,5306
5872,1750
5873,19925
5874,3244
5875,18811
5876,2238
5877,75978
5878,12043
5879,76024
5880,1743
5881,20399
5882,5175
5883,1572
5884,3013
5885,5088
5886,6608
5887,3938
5888,1480
5889,9285
5890,1300
5891,17294
5892,313
5893,45822
5894,4088
5895,5406
5896,1095
5897,4378
5898,8316
5899,11802
5900,2102
5901,11856
5902,12850
5903,8419
5904,2954
5905,51978
5906,92913
5907,10884
5908,3073
5909,18889
5910,1806
5911,37760
5912,1971
5913,11389
5914,11848
5915,11252
5916,3225
5917,36163
5918,3621
5919,61160
5920,1103
5921,67763
5922,4661
5923,16482
5924,2719
5925,5319
5926,15867
5927,2254
5928,2498
5929,7066
5930,8835
5931,5449
5932,2365
5933,40980
5934,9314
5935,21502
5936,4668
5937,28220
5938,14049
5939,9352
5940,2376
5941,5005
5942,22648
5943,17371
5944,2798
