value,count
3072,1
3074,1
3077,12
3078,1
3079,2
3083,1
3087,1
3090,1
3091,22
3094,2
3095,1
3098,4
3099,1
3100,1
3101,1
3102,1
3103,2
3106,12
3109,1
3114,1
3116,1
3117,5
3119,2
3122,1
3123,1
3124,1
3126,1
3127,1
3130,1
3131,2
3132,1
3134,19
3135,2
3136,1
3139,12
3141,7
3143,11
3145,24
3147,15
3149,102
3151,32
3152,1
3153,76
3155,49
3157,35
3158,42
3160,1
3161,266
3163,103
3165,1
3167,2
3169,1
3172,2
3175,2
3177,2
3179,1
3180,2
3181,1
3185,15
3187,5
3189,143
3191,38
3193,33
3195,20
3197,60
3199,27
3201,36
3202,18
3203,62
3204,2
3205,98
3207,87
3208,1
3209,80
3210,2
3214,12
3218,1
3220,2
3221,1
3222,3
3226,2
3230,1
3231,1
3232,1
3234,1
3235,2
3236,2
3237,1
3240,6
3241,1
3242,25
3243,7
3244,3
3245,15
3246,7
3247,8
3248,6
3249,19
3250,12
3251,23
3252,1
3253,10
3254,14
3255,12
3256,12
3257,20
3258,5
3259,14
3260,2
3261,45
3262,5
3263,75
3264,10
3265,41
3266,10
3267,34
3268,2
3269,86
3270,12
3271,65
3272,5
3273,76
3274,5
3275,43
3276,5
3277,252
3278,12
3279,111
3280,1
3281,157
3282,11
3283,88
3284,9
3285,64
3286,5
3287,245
3288,16
3289,268
3290,5
3291,496
3292,4
3293,1306
3294,5
3295,703
3296,7
3297,529
3298,1
3299,332
3300,9
3301,573
3302,19
3303,253
3304,6
3305,635
3306,12
3307,408
3308,10
3309,30
3310,10
3311,35
3312,9
3313,39
3314,142
3315,20
3316,11
3317,293
3318,14
3319,105
3320,11
3321,36
3323,63
3324,1
3325,19
3326,4
3327,369
3328,5
3329,106
3330,11
3331,6
3332,16
3333,200
3334,70
3335,25
3336,11
3337,648
3338,33
3339,142
3340,7
3341,465
3342,6
3343,332
3344,9
3345,463
3346,15
3347,251
3348,17
3349,1906
3350,27
3351,639
3352,9
3353,632
3354,6
3355,592
3356,4
3357,685
3358,24
3359,801
3360,21
3361,906
3362,20
3363,3
3364,23
3365,209
3366,14
3367,144
3368,8
3369,666
3370,12
3371,158
3372,7
3373,216
3374,16
3375,17
3376,4
3377,11
3378,16
3379,100
3380,9
3381,16
3382,28
3383,121
3384,6
3385,25
3386,245
3387,140
3388,26
3389,38
3390,10
3391,15
3392,1
3393,23
3394,58
3395,26
3396,11
3397,85
3398,10
3399,47
3400,13
3401,60
3402,16
3403,154
3404,29
3405,107
3406,28
3407,32
3408,5
3409,464
3410,15
3411,149
3412,42
3413,112
3414,65
3415,122
3416,26
3417,68
3418,258
3419,82
3420,36
3421,146
3422,49
3423,236
3424,23
3425,36
3426,61
3427,544
3428,33
3429,196
3430,53
3431,604
3432,33
3433,197
3434,40
3435,423
3436,4
3437,250
3438,56
3439,1132
3440,30
3441,419
3442,342
3443,659
3444,43
3445,469
3446,135
3447,1603
3448,54
3449,1419
3450,29
3451,3401
3452,45
3453,857
3454,96
3455,6883
3456,65
3457,4273
3458,64
3459,101
3460,56
3461,76
3462,70
3463,45
3464,48
3465,44
3466,204
3467,44
3468,105
3469,85
3470,112
3471,18
3472,73
3473,107
3474,110
3475,72
3476,92
3477,207
3478,251
3479,56
3480,170
3481,246
3482,1215
3483,165
3484,263
3485,2011
3486,94
3487,809
3488,60
3489,5209
3490,212
3491,1676
3492,163
3493,495
3494,797
3495,166
3496,160
3497,733
3498,105
3499,418
3500,84
3501,348
3502,218
3503,811
3504,98
3505,1197
3506,1175
3507,626
3508,295
3509,1059
3510,306
3511,1543
3512,182
3513,884
3514,71
3515,665
3516,128
3517,618
3518,504
3519,768
3520,201
3521,1525
3522,111
3523,1757
3524,63
3525,1367
3526,150
3527,1717
3528,78
3529,1156
3530,145
3531,1664
3532,58
3533,2052
3534,178
3535,4189
3536,90
3537,6823
3538,218
3539,7158
3540,160
3541,8848
3542,244
3543,2285
3544,158
3545,2454
3546,308
3547,1107
3548,163
3549,233
3550,397
3551,900
3552,174
3553,1178
3554,3310
3555,1014
3556,341
3557,1165
3558,350
3559,1409
3560,205
3561,1693
3562,676
3563,4790
3564,244
3565,4246
3566,2484
3567,968
3568,422
3569,12419
3570,220
3571,4719
3572,186
3573,352
3574,927
3575,2075
3576,355
3577,1654
3578,167
3579,9383
3580,182
3581,3276
3582,106
3583,1174
3584,120
3585,1100
3586,236
3587,2529
3588,318
3589,3382
3590,525
3591,2142
3592,211
3593,854
3594,531
3595,5133
3596,353
3597,6162
3598,728
3599,8432
3600,303
3601,16559
3602,3309
3603,12344
3604,495
3605,5987
3606,236
3607,5871
3608,283
3609,2645
3610,198
3611,18487
3612,341
3613,5431
3614,324
3615,1163
3616,116
3617,951
3618,243
3619,894
3620,371
3621,2903
3622,219
3623,1158
3624,210
3625,20609
3626,183
3627,3918
3628,267
3629,46414
3630,559
3631,21258
3632,354
3633,2159
3634,474
3635,18540
3636,156
3637,7757
3638,667
3639,2393
3640,235
3641,4912
3642,1107
3643,1523
3644,323
3645,503
3646,4238
3647,1058
3648,518
3649,1731
3650,464
3651,1392
3652,172
3653,2131
3654,174
3655,987
3656,102
3657,3497
3658,716
3659,1327
3660,261
3661,10208
3662,3728
3663,2093
3664,367
3665,3462
3666,225
3667,5143
3668,213
3669,8617
3670,507
3671,2862
3672,498
3673,1309
3674,907
3675,860
3676,391
3677,400
3678,821
3679,2014
3680,594
3681,1080
3682,658
3683,3022
3684,294
3685,4981
3686,612
3687,2441
3688,363
3689,6535
3690,613
3691,5955
3692,431
3693,15624
3694,696
3695,6916
3696,504
3697,2078
3698,387
3699,648
3700,784
3701,595
3702,955
3703,958
3704,258
3705,790
3706,998
3707,1931
3708,517
3709,952
3710,1204
3711,977
3712,314
3713,1913
3714,2820
3715,1850
3716,982
3717,1602
3718,2372
3719,1156
3720,1201
3721,1538
3722,7777
3723,2153
3724,1000
3725,6783
3726,1536
3727,8049
3728,576
3729,2398
3730,1785
3731,2921
3732,459
3733,3852
3734,4189
3735,3912
3736,1345
3737,10557
3738,1953
3739,4623
3740,1165
3741,3550
3742,9675
3743,17007
3744,1233
3745,13793
3746,2296
3747,12362
3748,896
3749,35143
3750,1620
3751,11862
3752,673
3753,6884
3754,714
3755,24205
3756,465
3757,13757
3758,998
3759,26124
3760,976
3761,15737
3762,1026
3763,68081
3764,659
3765,25284
3766,2268
3767,15900
3768,617
3769,21946
3770,1413
3771,6115
3772,1026
3773,36315
3774,1176
3775,10549
3776,1486
3777,78517
3778,3299
3779,31396
3780,1246
3781,1437
3782,4372
3783,8699
3784,714
3785,2593
3786,3768
3787,20151
3788,1242
3789,4816
3790,3212
3791,15452
3792,1193
3793,6518
3794,2710
3795,2014
3796,754
3797,3934
3798,2477
3799,3503
3800,562
3801,10531
3802,1730
3803,3767
3804,908
3805,29246
3806,2606
3807,6696
3808,1047
3809,13240
3810,2578
3811,14440
3812,995
3813,36945
3814,3330
3815,22711
3816,1032
3817,88665
3818,1336
3819,61156
3820,746
3821,53174
3822,2638
3823,49753
3824,1634
3825,13690
3826,2391
3827,30165
3828,1367
3829,17930
3830,1695
3831,38970
3832,1319
3833,21236
3834,1339
3835,24770
3836,1043
3837,38833
3838,2482
3839,68913
3840,598
3841,57779
3842,3583
3843,19361
3844,1783
3845,30722
3846,3752
3847,30307
3848,1361
3849,43507
3850,2925
3851,16986
3852,499
3853,16314
3854,842
3855,1673
3856,444
3857,4618
3858,3818
3859,6387
3860,1296
3861,9945
3862,8487
3863,3883
3864,1368
3865,20154
3866,2785
3867,8562
3868,1550
3869,23404
3870,3173
3871,7833
3872,805
3873,34860
3874,679
3875,17047
3876,212
3877,7317
3878,979
3879,21963
3880,315
3881,25925
3882,1454
3883,8792
3884,415
3885,3715
3886,2312
3887,6523
3888,1326
3889,7511
3890,4104
3891,6936
3892,1355
3893,8198
3894,4023
3895,19010
3896,1221
3897,8902
3898,3115
3899,45991
3900,1441
3901,25031
3902,3269
3903,12010
3904,741
3905,19447
3906,2996
3907,3735
3908,506
3909,34202
3910,1362
3911,12570
3912,637
3913,1981
3914,2002
3915,2411
3916,964
3917,3368
3918,2909
3919,1856
3920,917
3921,5208
3922,3499
3923,3137
3924,1230
3925,2471
3926,5562
3927,4834
3928,1444
3929,5460
3930,4811
3931,2196
3932,2033
3933,11341
3934,4283
3935,6284
3936,1083
3937,29343
3938,5414
3939,10786
3940,1433
3941,54971
3942,6302
3943,13247
3944,1774
3945,13407
3946,5507
3947,3279
3948,1235
3949,23731
3950,4029
3951,4525
3952,1388
3953,9724
3954,18097
3955,8150
3956,3058
3957,6789
3958,63443
3959,13865
3960,4603
3961,11251
3962,3343
3963,5138
3964,2552
3965,3849
3966,4663
3967,1398
3968,2648
3969,5187
3970,6179
3971,3537
3972,2360
3973,12583
3974,17615
3975,8733
3976,4382
3977,10486
3978,2047
3979,17540
3980,4256
3981,13327
3982,6121
3983,20537
3984,3190
3985,13947
3986,12131
3987,9857
3988,5681
3989,9030
3990,5412
3991,8992
3992,2550
3993,13268
3994,4228
3995,13096
3996,3188
3997,28316
3998,5660
3999,24474
4000,2724
4001,21781
4002,3067
4003,16736
4004,1923
4005,10415
4006,6307
4007,8532
4008,1928
4009,13666
4010,5585
4011,14595
4012,2429
4013,14115
4014,6323
4015,25168
4016,4596
4017,38733
4018,12734
4019,39621
4020,5099
4021,38016
4022,31177
4023,9734
4024,6642
4025,12137
4026,5915
4027,11538
4028,4140
4029,26971
4030,4826
4031,30471
4032,1642
4033,76901
4034,8565
4035,62136
4036,4355
4037,22934
4038,13207
4039,106342
4040,4767
4041,29442
4042,12049
4043,49497
4044,3634
4045,37032
4046,9128
4047,24537
4048,2931
4049,16331
4050,7064
4051,19427
4052,5980
4053,11232
4054,64671
4055,25522
4056,5253
4057,13051
4058,2882
4059,7685
4060,1340
4061,13796
4062,1837
4063,13730
4064,2363
4065,63670
4066,5677
4067,21195
4068,2432
4069,107139
4070,4954
4071,35443
4072,10559
4073,30279
4074,10508
4075,18960
4076,9110
4077,45861
4078,46153
4079,32578
4080,6160
4081,41442
4082,15587
4083,68255
4084,2695
4085,92454
4086,9981
4087,77173
4088,3237
4089,154239
4090,5582
4091,140498
4092,1190
4093,124314
4094,11551
4095,20414
4096,2120
4097,46852
4098,10366
4099,15187
4100,2107
4101,46342
4102,23043
4103,25814
4104,2919
4105,59828
4106,62999
4107,26080
4108,3698
4109,67439
4110,2103
4111,44845
4112,2739
4113,14328
4114,4722
4115,57814
4116,4059
4117,46606
4118,11202
