value,count
10044,1
10054,1
10056,1
10062,1
10064,1
10066,1237
10068,2
10070,3
10072,1242
10074,6
10076,4
10078,5
10080,10
10082,9
10084,2
10086,3
10088,2
10090,11
10092,2
10094,9
10098,11
10100,5
10102,11
10104,4
10106,1255
10108,2
10110,16
10112,3
10114,4970
10116,5
10118,22
10120,7
10122,25
10124,3
10126,3743
10128,6
10130,3724
10132,6
10134,25
10136,6
10138,18
10140,5
10142,5
10144,12
10146,5
10148,12
10150,8
10152,15
10154,7
10156,1
10158,13
10160,2
10162,7
10164,2
10166,5
10168,5
10170,16
10172,6
10174,10
10176,19
10178,2493
10180,4
10182,26
10184,6
10186,3741
10188,6
10190,29
10192,2
10194,16104
10196,20
10198,17
10200,2
10202,3
10204,3
10206,1
10208,3
10210,1
10216,2
10218,2
10220,1
10230,1
10232,1
10234,1
10236,2
10238,2
10242,2
10246,1236
10248,1
