value,count
10428,1
10430,2
10432,2
10434,3
10438,1297
10440,3
10442,1309
10444,4
10446,1304
10448,6
10450,19
10452,3
10454,16
10456,3888
10458,25
10460,4
10462,17
10464,5
10466,29
10468,6
10470,35
10472,6
10474,35
10476,4
10478,37
10480,13
10482,23274
10484,6
10486,17
10488,3
10490,16
10492,11
10494,36
10496,19
10498,1321
10500,3
10502,2617
10504,3
10506,62
10508,2
10510,14223
10512,7
10514,7796
10516,6
10518,2614
10520,1
10522,9
10524,1
10526,1299
10528,3
10530,4
10534,3879
10536,3
10538,9
10540,2
10542,2
10544,1
10546,4
10548,1
10550,3
10554,2580
10556,2
10558,3
10562,4
10566,1
10570,2
10572,2
10574,2
10576,2
10578,3
10582,1
10586,1288
10590,1
10598,2
