value,count
5832,1
5842,1
5846,2
5852,2
5855,2
5861,1
5863,1
5864,1
5865,232
5867,233
5869,2
5870,1
5872,1
5873,1
5874,3
5875,5
5876,1
5877,232
5878,1
5879,2
5881,1
5882,6
5884,2
5885,22
5886,3
5887,3
5888,4
5889,10
5893,6
5894,1
5895,4
5897,1
5898,697
5899,4
5900,1
5901,2
5902,13
5903,4
5904,3
5905,4
5906,8
5907,9
5908,4
5909,2
5910,10
5911,10
5913,8
5914,8
5915,719
5916,2
5917,11
5918,10
5919,729
5920,1
5921,9
5922,6
5923,3
5924,1
5925,1
5926,4
5928,1
5929,3
5930,1377
5931,2
5932,3
5933,3
5934,497
5935,2
5936,2
5937,4
5938,502
5939,4
5940,4
5942,494
5943,27
5944,2
5945,3
5946,9
5947,3
5948,2
5949,3
5950,5
5951,4
5952,5
5953,2
5954,4
5955,2
5956,1
5957,5
5958,2
5959,5
5960,1
5961,2
5962,700
5963,2
5964,1
5965,4
5966,8
5967,236
5968,4
5969,3
5970,6
5972,4
5973,710
5974,3
5975,9
5976,8
5977,6
5978,5
5979,479
5980,2
5981,5
5982,28
5983,3
5984,3
5985,291
5986,26
5987,1
5988,4
5989,288
5990,743
5991,2
5992,5
5993,294
5994,8
5995,3
5996,13
5997,296
5998,13
5999,2
6000,9
6001,292
6002,4
6003,5
6004,4
6005,5
6006,6
6007,3
6008,1
6009,3
6010,30
6011,5
6012,5
6014,5
6015,709
6016,4
6017,1
6018,13
6019,7
6020,5
6021,681
6022,5
6023,10
6024,3
6025,2
6026,2160
6027,386
6028,4
6029,2
6030,26
6031,388
6032,18
6033,2
6034,1442
6035,4
6036,14
6037,9
6038,23
6039,4
6040,10
6041,3
6042,32
6043,4
6044,20
6045,6
6046,34
6047,8
6048,20
6049,2
6050,44
6051,2
6052,11
6053,5
6054,1048
6055,707
6056,2849
6057,5
6058,341
6059,3
6060,31
6061,32
6062,1516
6063,698
6064,22
6065,7
6066,1143
6067,5
6068,5
6069,3
6070,4274
6071,8
6072,19
6073,6
6074,1165
6075,4
6076,34
6077,9
6078,804
6079,3
6080,12
6081,3
6082,36
6083,721
6084,14
6085,5
6086,6463
6087,9
6088,3596
6089,6
6090,36
6091,7
6092,23
6094,708
6095,726
6096,21
6098,32
6099,761
6100,9
6101,4
6102,20
6103,13
6104,19
6105,3
6106,25
6107,4
6108,29
6110,543
6112,37
6113,2
6114,1200
6116,54
6117,2
6118,444
6120,40
6122,1736
6124,21
6126,2659
6128,13
6130,3892
6132,12
6134,34
6136,11
6138,27
6140,4
6142,13
6144,22
6146,36
6148,16
6150,26
6152,775
6154,3572
6156,21
6158,49
6160,49
6162,40
6164,250
6166,268
6168,24
6170,1722
6172,478
6174,52
6176,263
6178,47
6180,33
6182,1123
6184,23
6186,1135
6188,14
6190,2367
6192,45
6194,4839
6196,27
6198,240
6200,10
6202,35
6204,8
6206,25
6208,8
6210,25
6212,6
6214,9896
6216,13
6218,44
6220,13
6222,16
6224,10
6226,1425
6228,6
6230,749
6232,1
6234,1520
6236,5
6238,523
6240,9
6242,961
6244,6
6246,8
6248,5
6250,9
6252,3
6254,10
6256,3
6258,9
6260,3
6262,4
6264,2
6266,16
6268,5
6270,9
6272,3
6274,4
6276,1
6278,12
6280,9
6282,4
6284,1
6286,720
6288,9
6290,7
6292,2
6294,8
6296,4
6298,470
6300,9
6302,466
6306,241
6308,2
6310,235
6312,5
6314,5
6316,2
6318,5
6320,3
6322,20
6324,2
6326,9
6330,7
6332,1
6334,10
6336,2
6338,10
6340,2
6342,3
6344,4
6346,2114
6350,4
6352,2
6354,4
6356,1
6358,14
6362,12
6364,1
6366,2
6368,2
6370,3
6372,2
6374,3
6378,3
6382,3
6388,1
6390,1
6392,1
6398,1
6402,168
6404,1
6406,255
6410,3
6414,169
6418,85
