value,count
6056,741
6060,2
6072,2
6076,2
6080,1
6082,3
6086,22
6090,3
6094,2
6096,2
6098,1
6100,1
6102,1
6104,5
6108,4
6110,5996
6112,5
6114,8
6116,5
6118,70513
6120,6
6122,70502
6124,375
6126,281074
6128,375
6130,71780
6132,3
6134,70882
6138,5
6140,1
6142,2
6144,2
6146,101
6148,4
6150,95
6152,754
6154,931
6156,3
6158,382
6160,8
6162,15
6164,1
6166,9
6168,2
6170,746
6172,1
6174,20
6176,1
6178,8
6180,2
6182,74
6186,181
6190,1537
6192,7
6194,60
6196,1
6198,104
6202,104
6206,377
6210,49
6214,3102
6218,238
6222,6
6226,188
6230,193
6234,138
6238,324
6242,94
