value,count
9966,1
9970,1
9974,2
9976,2
9984,2
9986,2
9994,3
9998,2
10002,1
10006,4
10008,1
10010,10
10012,2
10014,1245
10016,3
10018,14
10020,5
10022,7
10024,7
10026,11
10028,1
10030,17
10032,14
10034,2507
10036,25
10038,3763
10040,28
10042,3746
10044,46
10046,3783
10048,52
10050,59
10052,13
10054,30412
10056,45
10058,6408
10060,26
10062,136
10064,66
10066,35658
10068,73
10070,188
10072,11096
10074,205
10076,156
10078,177
10080,359
10082,256
10084,87
10086,227
10088,25
10090,17440
10092,82
10094,1530
10096,26
10098,381
10100,113
10102,1545
10104,49
10106,7875
10108,95
10110,529
10112,63
10114,95966
10116,138
10118,665
10120,201
10122,803
10124,61
10126,26492
10128,121
10130,118769
10132,180
10134,658
10136,194
10138,25108
10140,284
10142,21354
10144,651
10146,463
10148,616
10150,668
10152,620
10154,631
10156,173
10158,45512
10160,164
10162,722
10164,125
10166,750
10168,369
10170,1432
10172,295
10174,1154
10176,919
10178,35100
10180,222
10182,29460
10184,256
10186,188147
10188,269
10190,14621
10192,216
10194,449413
10196,950
10198,1236
10200,126
10202,205
10204,15
10206,122
10208,19
10210,57399
10212,34
10214,287
10216,1198
10218,127
10220,21
10222,19710
10224,75
10226,173
10228,38
10230,72
10232,2514
10234,78
10236,59
10238,140
10240,97
10242,128
10244,62
10246,22038
10248,54
10250,136
10252,33
10254,6125
10256,97
10258,27407
10260,33
10262,3365
10264,27
10266,49
10268,12
10270,27
10272,49
10274,1344
10276,17
10278,43
10280,21
10282,1293
10284,12
10286,1260
10288,49
10290,60
10292,21
10294,25
10296,19
10298,1213
10300,22
10302,59
10304,25
10306,43
10308,5
10310,9782
10312,3552
10314,98
10316,17
10318,54
10320,11
10322,16314
10324,20
10326,1745
10328,3667
10330,447
10332,15
10334,12
10336,14
10338,2386
10340,1
10342,8
10344,5
10346,1238
10348,5
10350,12
10352,17
10354,2468
10356,10
10358,16
10360,8
10362,3
10364,3
10366,1218
10368,3
10370,10
10374,14
10376,6
10378,13
10380,6
10382,11
10384,5
10386,5
10388,6
10390,13
10392,3
10394,8
10396,6
10398,1248
10400,10
10402,6
10406,5
10410,5
10414,15
10416,1
10418,7
10422,3
10426,3
10428,9
10430,1
10432,1
10438,1
10440,1
10442,3
10444,8
10446,2
10448,10
10450,12
10452,2
10454,4
10458,9
10462,11
10466,8
10468,1
10470,12
10472,1
10474,19
10476,1
10478,9
10480,2
10482,2358
10486,3
10488,1
10490,9
10492,2
10494,2
10496,1
10506,5
10508,1
10510,17
10512,1
10514,35
10516,1
10520,1
10532,1
10534,1178
10538,1
