value,count
5306,1
5307,3
5311,1
5312,1
5315,1
5324,1
5334,1
5335,1
5343,1
5346,1
5362,1
5363,1
5366,1
5368,1
5371,1
5373,2
5374,1
5375,4
5376,1
5377,6
5378,3
5379,8
5380,1
5381,14
5382,1
5383,2
5385,10
5386,1
5387,10
5388,1
5389,22
5390,1
5391,13
5392,1
5393,14
5395,13
5396,3
5397,16
5398,208
5399,20
5400,2
5401,56
5402,1
5403,49
5404,3
5405,19
5407,19
5409,16
5410,4
5411,25
5412,3
5413,25
5414,2
5415,4
5416,2
5417,5
5418,2
5419,4
5421,9
5422,2
5423,3
5424,2
5425,23
5427,18
5428,2
5429,265
5430,1
5431,60
5432,2
5433,82
5435,263
5436,3
5437,48
5438,1
5439,2
5440,5
5441,4
5442,4
5443,5
5444,2
5445,3
5446,5
5447,13
5449,6
5450,10
5451,17
5452,1
5453,15
5454,3
5455,99
5456,3
5457,45
5458,89
5459,27
5460,10
5461,313
5462,60
5463,21
5464,4
5465,158
5466,5
5467,6
5468,5
5469,106
5470,8
5471,7
5472,4
5473,32
5474,7
5475,5
5476,1
5477,8
5478,3
5479,8
5480,2
5481,18
5482,8
5483,7
5484,2
5485,30
5486,10
5487,12
5488,4
5489,187
5490,8
5491,14
5492,6
5493,102
5494,17
5495,47
5496,3
5497,57
5498,356
5499,55
5500,9
5501,47
5502,6
5503,43
5504,12
5505,146
5506,72
5507,116
5508,11
5509,848
5510,7
5511,148
5512,1
5513,129
5514,10
5515,583
5516,13
5517,390
5518,18
5519,287
5520,7
5521,165
5522,31
5523,3
5524,19
5525,23
5526,56
5527,10
5528,15
5529,40
5530,8
5531,18
5532,16
5533,671
5534,624
5535,57
5536,38
5537,40
5538,9
5539,223
5540,10
5541,322
5542,11
5543,237
5544,33
5545,220
5546,16
5547,73
5548,15
5549,358
5550,38
5551,240
5552,14
5553,184
5554,18
5555,220
5556,20
5557,441
5558,10
5559,269
5560,9
5561,2612
5562,11
5563,388
5564,19
5565,60
5566,14
5567,226
5568,9
5569,55
5570,43
5571,123
5572,26
5573,162
5574,108
5575,110
5576,29
5577,103
5578,811
5579,529
5580,60
5581,141
5582,29
5583,92
5584,12
5585,893
5586,24
5587,305
5588,43
5589,134
5590,38
5591,58
5592,16
5593,208
5594,62
5595,222
5596,32
5597,1808
5598,80
5599,1284
5600,34
5601,652
5602,328
5603,615
5604,69
5605,306
5606,653
5607,178
5608,91
5609,1808
5610,46
5611,1099
5612,90
5613,817
5614,74
5615,951
5616,33
5617,611
5618,61
5619,501
5620,124
5621,152
5622,47
5623,80
5624,39
5625,202
5626,62
5627,418
5628,131
5629,656
5630,98
5631,485
5632,111
5633,717
5634,161
5635,258
5636,179
5637,1155
5638,1748
5639,309
5640,135
5641,364
5642,97
5643,167
5644,85
5645,1684
5646,90
5647,385
5648,185
5649,533
5650,105
5651,558
5652,87
5653,542
5654,289
5655,376
5656,86
5657,298
5658,278
5659,367
5660,40
5661,145
5662,168
5663,2105
5664,114
5665,924
5666,1899
5667,7056
5668,195
5669,1444
5670,297
5671,534
5672,76
5673,763
5674,150
5675,237
5676,167
5677,3033
5678,110
5679,1233
5680,45
5681,627
5682,212
5683,1272
5684,135
5685,856
5686,1226
5687,3909
5688,77
5689,3965
5690,99
5691,840
5692,41
5693,218
5694,215
5695,2900
5696,179
5697,1330
5698,222
5699,15055
5700,82
5701,3486
5702,714
5703,1199
5704,144
5705,787
5706,674
5707,731
5708,210
5709,1280
5710,1282
5711,1266
5712,324
5713,4672
5714,13605
5715,1484
5716,624
5717,468
5718,549
5719,2844
5720,319
5721,2384
5722,2751
5723,20319
5724,194
5725,2105
5726,97
5727,4239
5728,42
5729,3910
5730,101
5731,18853
5732,65
5733,2701
5734,168
5735,8063
5736,92
5737,2886
5738,227
5739,43681
5740,100
5741,7744
5742,190
5743,2873
5744,208
5745,1422
5746,355
5747,16322
5748,322
5749,5787
5750,412
5751,887
5752,206
5753,2790
5754,593
5755,3037
5756,673
5757,2346
5758,4213
5759,5002
5760,427
5761,10095
5762,936
5763,4698
5764,210
5765,4207
5766,690
5767,18615
5768,173
5769,4292
5770,810
5771,10812
5772,297
5773,8746
5774,8327
5775,2127
5776,404
5777,9958
5778,100
5779,1964
5780,106
5781,4872
5782,142
5783,739
5784,107
5785,28402
5786,260
5787,14275
5788,168
5789,125949
5790,403
5791,36693
5792,349
5793,1077
5794,1088
5795,12975
5796,186
5797,5956
5798,354
5799,64700
5800,360
5801,17143
5802,1232
5803,5970
5804,729
5805,1489
5806,9487
5807,1523
5808,538
5809,2032
5810,48
5811,5258
5812,51
5813,3052
5814,110
5815,21017
5816,199
5817,5623
5818,335
5819,12444
5820,307
5821,16611
5822,207
5823,7229
5824,102
5825,8014
5826,264
5827,12916
5828,164
5829,5029
5830,378
5831,1170
5832,305
5833,17242
5834,1628
5835,4333
5836,500
5837,18224
5838,438
5839,5167
5840,389
5841,2401
5842,378
5843,2418
5844,165
5845,5091
5846,467
5847,17353
5848,230
5849,6337
5850,550
5851,5697
5852,300
5853,632
5854,756
5855,1433
5856,456
5857,391
5858,427
5859,458
5860,244
5861,458
5862,290
5863,1178
5864,263
5865,1382
5866,458
5867,1631
5868,316
5869,1612
5870,575
5871,1246
5872,382
5873,4257
5874,674
5875,4047
5876,484
5877,16611
5878,2611
5879,16625
5880,391
5881,4248
5882,1182
5883,333
5884,610
5885,1114
5886,1418
5887,781
5888,308
5889,2232
5890,246
5891,2960
5892,59
5893,11040
5894,795
5895,1207
5896,199
5897,981
5898,1813
5899,2635
5900,464
5901,2492
5902,2834
5903,1754
5904,626
5905,11934
5906,21472
5907,2294
5908,676
5909,4107
5910,358
5911,8838
5912,422
5913,2409
5914,2351
5915,2543
5916,718
5917,8364
5918,775
5919,13419
5920,260
5921,15498
5922,1010
5923,3439
5924,644
5925,1215
