value,count
3225,1
3228,1
3231,1
3234,1
3236,1
3238,3
3240,1
3241,1
3245,1
3246,1
3247,1
3249,3
3251,1
3253,1
3254,27
3255,1
3256,2
3257,5
3259,5
3261,2
3263,1
3265,2
3268,2
3269,3
3270,1
3271,2
3273,3
3275,4
3276,2
3277,4
3278,1
3279,2
3281,22
3282,1
3283,2
3284,2
3285,2
3287,5
3288,3
3289,5
3291,5
3293,7
3294,1
3295,14
3296,1
3297,19
3299,2
3301,27
3302,2
3303,8
3305,28
3306,2
3307,16
3308,4
3309,1
3310,3
3311,1
3312,1
3313,5
3314,39
3315,1
3316,4
3317,25
3318,3
3319,16
3320,2
3321,3
3323,7
3327,20
3329,5
3330,2
3331,2
3332,2
3333,7
3334,1
3336,2
3337,88
3339,5
3340,1
3341,7
3343,6
3344,1
3345,48
3346,3
3347,13
3348,3
3349,152
3350,4
3351,90
3352,1
3353,109
3354,2
3355,33
3357,69
3358,3
3359,92
3360,4
3361,45
3362,2
3364,2
3365,5
3366,1
3367,1
3368,1
3369,5
3370,4
3371,9
3374,2
3375,1
3376,3
3377,1
3379,1
3380,1
3381,3
3382,5
3383,2
3384,3
3385,2
3386,3
3388,2
3389,2
3391,2
3393,6
3394,1
3395,2
3396,1
3397,7
3398,1
3399,5
3400,1
3401,8
3402,1
3403,24
3404,4
3405,19
3406,4
3407,7
3408,1
3409,15
3410,5
3411,13
3412,6
3413,7
3414,6
3415,8
3416,5
3417,2
3418,26
3419,7
3420,3
3421,16
3422,8
3423,28
3424,4
3425,3
3426,8
3427,30
3428,9
3429,4
3430,6
3431,15
3432,8
3433,15
3434,1
3435,10
3437,5
3438,8
3439,24
3441,18
3442,14
3443,13
3444,4
3445,12
3446,19
3447,32
3448,6
3449,16
3450,2
3451,409
3452,3
3453,11
3454,4
3455,695
3456,3
3457,438
3458,4
3459,7
3460,5
3461,2
3462,4
3463,4
3464,5
3465,4
3466,4
3467,2
3468,13
3469,9
3470,9
3471,1
3472,3
3473,8
3474,7
3475,8
3476,8
3477,19
3478,13
3479,5
3480,12
3481,17
3482,114
3483,14
3484,29
3485,109
3486,5
3487,23
3488,7
3489,413
3490,32
3491,98
3492,17
3493,41
3494,91
3495,11
3496,16
3497,76
3498,8
3499,25
3500,6
3501,12
3502,30
3503,11
3504,9
3505,27
3506,125
3507,17
3508,21
3509,50
3510,24
3511,59
3512,15
3513,39
3514,2
3515,36
3516,10
3517,38
3518,46
3519,32
3520,19
3521,45
3522,6
3523,82
3524,6
3525,63
3526,6
3527,86
3528,3
3529,31
3530,5
3531,114
3532,4
3533,130
3534,12
3535,238
3536,7
3537,346
3538,14
3539,340
3540,12
3541,392
3542,23
3543,115
3544,9
3545,223
3546,21
3547,80
3548,8
3549,21
3550,32
3551,51
3552,16
3553,126
3554,166
3555,82
3556,31
3557,73
3558,29
3559,111
3560,17
3561,80
3562,66
3563,262
3564,22
3565,231
3566,343
3567,80
3568,35
3569,887
3570,13
3571,317
3572,17
3573,31
3574,164
3575,121
3576,30
3577,78
3578,73
3579,511
3580,12
3581,151
3582,12
3583,103
3584,11
3585,64
3586,10
3587,134
3588,23
3589,138
3590,46
3591,99
3592,18
3593,54
3594,47
3595,281
3596,25
3597,259
3598,37
3599,414
3600,26
3601,614
3602,134
3603,610
3604,34
3605,216
3606,19
3607,220
3608,18
3609,193
3610,15
3611,808
3612,16
3613,305
3614,25
3615,117
3616,4
3617,71
3618,12
3619,94
3620,32
3621,352
3622,9
3623,118
3624,11
3625,2040
3626,12
3627,437
3628,18
3629,5126
3630,33
3631,2064
3632,22
3633,218
3634,25
3635,2129
3636,9
3637,850
3638,52
3639,184
3640,15
3641,361
3642,114
3643,172
3644,34
3645,22
3646,434
3647,33
3648,39
3649,72
3650,13
3651,67
3652,11
3653,169
3654,7
3655,62
3656,5
3657,235
3658,29
3659,92
3660,14
3661,653
3662,314
3663,134
3664,15
3665,190
3666,15
3667,314
3668,12
3669,589
3670,28
3671,232
3672,34
3673,66
3674,54
3675,36
3676,16
3677,17
3678,47
3679,123
3680,35
3681,45
3682,35
3683,288
3684,9
3685,207
3686,50
3687,182
3688,11
3689,211
3690,30
3691,328
3692,28
3693,775
3694,11
3695,170
3696,31
3697,47
3698,16
3699,28
3700,39
3701,26
3702,47
3703,30
3704,15
3705,26
3706,43
3707,50
3708,23
3709,35
3710,58
3711,26
3712,26
3713,61
3714,157
3715,52
3716,41
3717,87
3718,111
3719,62
3720,57
3721,74
3722,556
3723,133
3724,70
3725,399
3726,73
3727,466
3728,30
3729,152
3730,91
3731,141
3732,28
3733,186
3734,291
3735,207
3736,63
3737,466
3738,92
3739,168
3740,76
3741,149
3742,492
3743,669
3744,46
3745,790
3746,92
3747,461
3748,47
3749,1759
3750,76
3751,573
3752,35
3753,360
3754,20
3755,1144
3756,30
3757,670
3758,88
3759,1110
3760,49
3761,715
3762,55
3763,2894
3764,28
3765,1274
3766,144
3767,810
3768,25
3769,1014
3770,79
3771,300
3772,54
3773,1754
3774,63
3775,590
3776,68
3777,3873
3778,166
3779,1467
3780,58
3781,99
3782,258
3783,542
3784,42
3785,160
3786,197
3787,1215
3788,53
3789,305
3790,168
3791,836
3792,66
3793,417
3794,144
3795,102
3796,43
3797,178
3798,123
3799,151
3800,26
3801,436
3802,50
3803,196
3804,56
3805,1372
3806,120
3807,281
3808,46
3809,631
3810,131
3811,633
3812,39
3813,1604
3814,160
3815,910
3816,50
3817,3881
3818,100
3819,2386
3820,45
3821,2013
3822,113
3823,2068
3824,74
3825,598
3826,101
3827,1591
3828,65
3829,735
3830,83
3831,1769
3832,57
3833,864
3834,58
3835,945
3836,56
3837,1717
3838,122
3839,3115
3840,33
3841,2874
3842,153
3843,809
3844,89
3845,1784
3846,160
3847,1370
3848,59
3849,2389
3850,140
3851,773
3852,21
3853,708
3854,42
3855,138
3856,14
3857,255
