value,count
10010,1
10014,1
10016,1
10020,3
10022,2
10024,1
10026,1
10028,1
10030,5
10032,1
10034,7
10036,8
10038,867
10040,7
10042,865
10044,19
10046,881
10048,16
10050,19
10052,4
10054,11012
10056,12
10058,3648
10060,9
10062,52
10064,22
10066,19376
10068,15
10070,110
10072,4954
10074,71
10076,48
10078,77
10080,192
10082,82
10084,18
10086,88
10088,8
10090,2653
10092,32
10094,121
10096,13
10098,158
10100,39
10102,110
10104,21
10106,8768
10108,37
10110,265
10112,18
10114,37867
10116,57
10118,314
10120,61
10122,351
10124,18
10126,9192
10128,57
10130,62122
10132,63
10134,290
10136,78
10138,8763
10140,119
10142,4132
10144,293
10146,169
10148,287
10150,261
10152,294
10154,232
10156,62
10158,16515
10160,63
10162,290
10164,45
10166,312
10168,153
10170,513
10172,89
10174,424
10176,474
10178,8640
10180,125
10182,2821
10184,86
10186,92038
10188,101
10190,5256
10192,85
10194,247554
10196,491
10198,848
10200,51
10202,83
10204,4
10206,52
10208,15
10210,27877
10212,14
10214,140
10216,1138
10218,51
10220,11
10222,7580
10224,31
10226,106
10228,16
10230,22
10232,164
10234,26
10236,14
10238,54
10240,28
10242,41
10244,18
10246,14675
10248,22
10250,49
10252,11
10254,86
10256,33
10258,9798
10260,13
10262,61
10264,1308
10266,13
10268,7
10270,6
10272,14
10274,49
10276,11
10278,13
10280,16
10282,1175
10284,6
10286,17
10288,19
10290,33
10292,12
10294,14
10296,5
10298,161
10300,7
10302,16
10304,6
10306,20
10308,1
10310,3343
10312,13
10314,41
10316,5
10318,19
10320,4
10322,6232
10324,8
10326,117
10328,76
10330,175
10332,3
10334,7
10336,2
10338,1
10342,1
10344,9
10346,1
10348,1
10350,1
10352,4
10354,3501
10356,2
10370,1
10374,1
10378,1
10386,2
10390,2
