value,count
9646,1
9650,1
9656,1
9668,1
9670,1
9671,6
9674,1
9675,282
9677,1
9678,1
9682,1
9684,1
9685,282
9687,284
9689,281
9691,1
9695,1
9697,1
9698,1
9699,1
9701,1
9702,1
9709,2
9713,2
9715,2
9717,1
9719,1
9727,3
9733,1
9736,3
9740,1
9741,1
9745,3
9748,1
9750,1
9757,3
9761,1
9766,1
9770,5
9773,3
9774,1
9775,1
9776,1
9777,1
9778,1
9781,1
9783,1
9785,2
9786,1
9790,1
9793,3
9797,1
9798,1
9800,1
9808,1
9809,3
9810,1
9813,1
9815,2
9819,2
9821,1
9823,1
9826,3
9827,3
9829,1
9830,1
9834,2
9835,2
9837,1
9839,1
9840,1
9842,1
9843,2
9844,1
9845,8
9846,2
9847,2
9849,7
9850,3
9851,1
9853,5
9854,3
9855,2
9856,1
9857,2
9858,1
9859,1
9860,1
9862,3
9863,5
9865,3
9866,2
9869,1
9873,1
9876,2
9877,12
9880,3
9881,4
9883,1
9885,2
9886,2
9888,1
9889,4
9891,21
9893,8
9894,1
9895,27
9897,6
9899,30
9900,2
9901,11
9904,1
9905,2
9907,1
9908,1
9909,24
9910,2
9911,1
9913,3
9915,2
9916,2
9919,1
9920,1
9923,5
9924,1
9925,1
9926,1
9927,2
9929,1
9930,4
9932,1
9935,1
9938,1
9939,4
9940,3
9942,12
9943,2
9946,2
9947,2
9948,3
9949,2
9951,1
9952,1
9953,2
9955,1
9956,3
9957,1
9960,2
9961,1
9962,2
9964,1
9965,1
9966,309
9967,2
9971,1
9972,1
9974,616
9975,2
9976,1
9978,309
9979,6
9981,1
9982,4
9983,3
9984,3
9985,1
9986,1
9987,5
9988,1
9989,1
9990,7
9991,3
9992,3
9993,1
9994,7
9995,3
9996,2
9997,1
9998,9
9999,1223
10000,3
10003,1224
10004,4
10005,2
10006,5
10007,2
10008,1
10009,2
10010,5
10011,1
10012,2
10013,13
10014,2465
10015,3
10016,6
10017,8
10018,16
10020,5
10021,1
10022,1
10023,2
10024,4
10025,3
10026,7
10028,1
10029,6
10030,15
10032,5
10034,2281
10036,8
10037,1
10038,1194
10040,9
10042,1185
10044,16
10045,2
10046,1194
10047,1
10048,15
10049,3
10050,28
10051,1
10052,2
10053,1
10054,6105
10055,4
10056,11
10057,1
10058,1272
10059,1102
10060,8
10061,2
10062,37
10063,4
10064,27
10065,2
10066,9352
10067,1
10068,18
10069,2
10070,54
10071,11
10072,366
10073,7
10074,58
10076,54
10077,4
10078,44
10079,5
10080,93
10082,63
10084,16
10086,58
10087,11
10088,3
10089,1
10090,5838
10091,1
10092,24
10093,1
10094,54
10095,1
10096,4
10098,94
10099,1
10100,18
10101,2
10102,69
10104,8
10105,9
10106,2557
10108,31
10109,1
10110,112
10111,1
10112,7
10114,12000
10115,1
10116,20
10118,138
10119,1
10120,42
10122,201
10123,1
10124,13
10126,5648
10128,27
10130,21299
10132,34
10134,148
10135,1
10136,47
10138,2872
10140,52
10142,8452
10144,156
10146,115
10147,1
10148,145
10150,156
10152,150
10154,153
10156,40
10158,7955
10160,44
10162,213
10163,1
10164,21
10166,166
10168,70
10170,343
10171,1
10172,61
10174,259
10176,210
10178,6781
10180,55
10182,2037
10183,1
10184,67
10186,26114
10187,1
10188,62
10190,4205
10192,43
10193,1
10194,91247
10196,216
10197,1
10198,331
10200,32
10201,3
10202,43
10204,3
10205,2
10206,27
10208,6
10209,9
10210,9474
10211,1
10212,12
10213,1
10214,64
10216,1108
10217,3
10218,29
10220,10
10221,2
10222,2700
10224,19
10226,55
10227,3
10228,10
10229,1
10230,19
10231,2
10232,19
10233,1
10234,22
10236,18
10237,3
10238,41
10240,22
10241,2
10242,33
10243,1
10244,19
10246,2761
10248,16
10249,1
10250,36
10252,15
10253,1
10254,1146
10256,23
10257,1078
10258,3648
10259,1
10260,20
10261,2
10262,44
10264,1196
10265,1
10266,17
10267,2
10268,5
10270,9
10272,20
10273,2
10274,36
10276,6
10277,1
10278,27
10280,8
10281,6
10282,3320
10283,1
10284,9
10286,53
10287,2
10288,20
10290,31
10291,1
10292,8
10294,13
10296,6
10297,1
10298,140
10299,2
10300,8
10302,27
10303,1
10304,15
10306,40
10307,3
10308,4
10309,1
10310,1436
10311,2
10312,1087
10313,1
10314,66
10315,1
10316,8
10317,8
10318,28
10320,6
10321,3
10322,5852
10324,5
