value,count
5230,1
5232,1
5235,4
5237,9
5239,2
5241,56
5243,2
5244,1
5245,4
5247,8
5249,2
5251,22
5253,4
5255,61
5257,54
5259,41
5260,1
5261,7
5263,2
5265,1
5267,1
5268,1
5269,2
5273,1
5276,1
5277,2
5278,1
5283,1
5290,1
5298,1
5301,2
5302,1
5303,1
5306,2
5310,1
5311,4
5312,1
5313,1
5314,2
5316,1
5317,1
5318,1
5319,1
5320,1
5321,82
5323,3
5324,1
5327,1
5329,1
5330,1
5331,1
5332,1
5334,1
5335,1
5337,2
5338,2
5339,8
5340,1
5341,3
5342,51
5344,1
5345,1
5347,1
5348,2
5349,4
5351,2
5354,1
5355,1
5356,1
5357,6
5358,2
5359,5
5360,2
5363,28
5364,2
5365,5
5366,10
5367,1
5368,1
5369,5
5371,28
5372,3
5373,14
5375,7
5376,3
5377,41
5378,3
5379,22
5380,4
5381,9
5382,1
5383,56
5385,13
5387,4
5388,2
5389,121
5390,2
5391,30
5392,1
5393,20
5395,24
5396,3
5397,57
5399,50
5401,823
5403,221
5404,4
5405,37
5407,30
5408,2
5409,15
5410,8
5411,562
5412,4
5413,46
5414,33
5415,1
5416,4
5417,2
5418,2
5419,1
5420,1
5421,6
5422,45
5423,7
5424,3
5425,43
5427,17
5428,3
5429,552
5430,2
5431,34
5432,3
5433,668
5434,3
5435,223
5436,3
5437,19
5438,83
5439,9
5440,3
5441,5
5442,7
5443,9
5444,3
5445,2
5446,8
5447,218
5448,3
5449,15
5450,11
5451,3
5452,1
5453,10
5454,7
5455,95
5456,3
5457,43
5458,75
5459,52
5460,12
5461,100
5462,8
5463,17
5464,3
5465,18
5466,10
5467,14
5468,3
5469,15
5470,9
5471,9
5472,3
5473,156
5474,5
5475,10
5476,4
5477,10
5478,2
5479,5
5480,4
5481,28
5482,7
5483,10
5484,3
5485,111
5486,14
5487,17
5488,2
5489,86
5490,11
5491,22
5492,11
5493,289
5494,15
5495,62
5496,6
5497,159
5498,139
5499,83
5500,12
5501,123
5502,9
5503,51
5504,17
5505,211
5506,12
5507,140
5508,7
5509,1615
5510,16
5511,233
5512,3
5513,146
5514,22
5515,930
5516,13
5517,800
5518,19
5519,575
5520,14
5521,342
5522,38
5523,8
5524,20
5525,23
5526,39
5527,24
5528,19
5529,67
5530,15
