value,count
6000,2
6008,1
6010,3
6012,1
6014,2
6016,1
6018,2
6020,1
6022,3
6023,3
6024,3
6025,1
6026,2
6027,742
6028,1
6030,5
6031,742
6032,5
6034,752
6035,2
6036,2
6037,2
6038,9
6040,6
6041,1
6042,10
6043,1
6044,7
6046,17
6047,1
6048,5
6049,1
6050,10
6052,4
6053,1
6054,998
6056,2230
6058,126
6060,13
6061,741
6062,1061
6064,1
6065,7
6066,436
6068,2
6069,1
6070,2925
6072,7
6074,448
6075,2
6076,14
6077,1
6078,1495
6080,6
6081,1
6082,11
6083,4
6084,3
6085,1
6086,2967
6087,3
6088,1509
6090,11
6092,8
6094,1495
6095,2
6096,8
6098,15
6100,12
6102,11
6103,2
6104,8
6106,14
6108,5
6110,16
6112,10
6114,206
6116,11
6118,579
6120,8
6122,932
6124,3
6126,4634
6128,4
6130,199
6134,189
6136,1
6138,6
6142,3
6146,5
6148,1
6150,127
6154,744
6158,258
6160,9
6162,12
6164,2
6166,248
6168,1
6170,861
6172,2
6174,4
6176,3
6178,5
6180,1
6182,752
6184,2
6186,371
6188,4
6190,191
6192,3
6194,306
6196,3
6198,608
6202,9
6204,1
6206,3
6208,1
6210,3
6212,1
6214,1476
6218,5
6222,1
6226,1
6234,742
