value,count
10024,1
10030,2
10032,1
10034,1228
10036,1
10038,417
10042,417
10044,5
10046,419
10048,3
10050,4
10052,1
10054,1240
10056,3
10058,10
10060,2
10062,9
10064,9
10066,2451
10068,4
10070,14
10072,19
10074,13
10076,15
10078,12
10080,32
10082,16
10084,3
10086,20
10090,441
10092,7
10094,438
10098,36
10100,5
10102,430
10104,5
10106,1304
10108,2
10110,25
10112,2
10114,5007
10116,12
10118,39
10120,9
10122,65
10126,1325
10128,6
10130,14756
10132,4
10134,45
10136,12
10138,6129
10140,15
10142,31
10144,36
10146,19
10148,32
10150,32
10152,32
10154,22
10156,9
10158,3698
10160,8
10162,46
10164,7
10166,36
10168,12
10170,57
10172,6
10174,48
10176,46
10178,1285
10180,10
10182,2518
10184,6
10186,7445
10188,9
10190,53
10192,8
10194,27013
10196,42
10198,47
10200,6
10202,4
10206,5
10210,2509
10212,2
10214,14
10218,3
10222,23
10224,1
10226,3
10228,2
10230,2
10232,2
10234,2
10238,4
10240,2
10242,5
10244,4
10246,1204
10248,5
10250,5
10254,11
10256,2
10258,1649
10260,1
10262,807
10266,1
10270,2
10272,3
10274,2
10276,1
10280,1
10282,1
10288,4
10290,3
10292,1
10300,1
10302,2
10304,2
10306,1
10310,2
10312,1
10314,7
10316,1
10318,7
10322,1227
10324,1
10326,8
10330,1215
10334,6
