value,count
10044,2
10046,2
10050,2
10056,1
10058,32
10060,1
10062,5
10064,1
10066,2427
10068,4
10070,6
10072,19
10074,13
10076,13
10078,12
10080,18
10082,15
10084,2
10086,18
10088,2
10090,1223
10092,4
10094,17
10096,5
10098,24
10100,8
10102,24
10104,9
10106,26
10108,10
10110,35
10112,4
10114,6254
10116,6
10118,40
10120,11
10122,40
10124,1
10126,3730
10128,4
10130,8662
10132,7
10134,33
10136,7
10138,2505
10140,14
10142,1270
10144,35
10146,20
10148,30
10150,28
10152,33
10154,31
10156,8
10158,2472
10160,6
10162,25
10164,4
10166,41
10168,21
10170,83
10172,11
10174,54
10176,52
10178,1301
10180,21
10182,2542
10184,20
10186,22178
10188,14
10190,87
10192,13
10194,25908
10196,51
10198,76
10200,10
10202,15
10204,2
10206,8
10208,2
10210,2441
10212,2
10214,19
10216,5
10218,4
10222,1233
10224,6
10226,10
10228,1
10230,4
10232,2
10234,7
10236,4
10238,9
10240,5
10242,7
10244,6
10246,1212
10248,6
10250,6
10252,2
10254,9
10256,5
10258,4874
10262,16
10264,15
10266,4
10268,5
10270,1
10272,5
10274,16
10276,5
10278,4
10280,3
10282,2
10286,5
10288,5
10290,3
10292,2
10302,2
10306,2
10314,4
10318,3
10322,28
10326,12
10330,4
