signature_id,distinct_count,cycle_min,cycle_max,signature_hash,value_set_id,value_set_hash,size,representative_m,member_m_list
286,6,1380,1402,71e573ae5ce8a413,72,51d10fab3e42a8e8,1,287,287
287,4,2028,2042,4a5382f877d9bc7f,94,846137c8606a2c77,1,288,288
288,4,2028,2042,98317598647bbeec,94,846137c8606a2c77,1,289,289
289,3,2622,2630,2fbc9b598bff9c62,97,0f1ade2799e01a9f,1,290,290
290,10,1590,1622,69341d27ec3a8b93,85,bf0f522422678d5e,1,291,291
291,4,2028,2042,a7a0378767fe3c53,94,846137c8606a2c77,1,292,292
292,10,1590,1622,c1c2952c75f4c4ed,85,bf0f522422678d5e,1,293,293
293,3,2622,2630,132443deb88acb13,97,0f1ade2799e01a9f,1,294,294
294,10,2350,2374,03f6b25538d53bb3,98,cb4c5de470ba3a91,1,295,295
295,9,2350,2374,867e9edc33ab32d9,99,be6cf9f5daa1b46d,1,296,296
296,3,2622,2630,bb65edb3718e567a,97,0f1ade2799e01a9f,1,297,297
297,7,2618,2638,e661276dbb8ff084,100,f7b2b839ca1ee403,1,298,298
298,3,1332,1346,e9cea8f1d1198d95,67,f1b43375c65cdba0,1,299,299
299,9,2350,2374,00a1ab79413eba39,99,be6cf9f5daa1b46d,1,300,300
300,3,2366,2374,5134795688dc5d6c,101,275b0fc0eefb9622,1,301,301
301,8,2618,2642,32a6c21cf9c80b38,102,d9b72fe9cece512d,1,302,302
302,10,2350,2374,199978334906d30c,98,cb4c5de470ba3a91,1,303,303
303,9,2350,2374,87b60fbd50bf1ee6,99,be6cf9f5daa1b46d,1,304,304
304,4,2028,2042,bd65c94c01c172ee,94,846137c8606a2c77,1,305,305
305,3,2622,2630,a2fd7b05348585eb,97,0f1ade2799e01a9f,1,306,306
306,7,2618,2638,49b7d1a0e7ec54bc,100,f7b2b839ca1ee403,1,307,307
307,3,2622,2630,a0c9dd2e2744f453,97,0f1ade2799e01a9f,1,308,308
308,3,2622,2630,3687ceadf7d3e2e1,97,0f1ade2799e01a9f,1,309,309
309,3,2622,2630,c3278eb91a28dd71,97,0f1ade2799e01a9f,1,310,310
310,3,2622,2630,06fe213a1f21546c,97,0f1ade2799e01a9f,1,311,311
311,9,2350,2374,731ebbc1ce1d725f,99,be6cf9f5daa1b46d,1,312,312
312,3,2622,2630,fdc95ed0e13c42a5,97,0f1ade2799e01a9f,1,313,313
313,3,2622,2630,b5ff0d0c10649c96,97,0f1ade2799e01a9f,1,314,314
314,3,2622,2630,decaf011bf07520d,97,0f1ade2799e01a9f,1,315,315
315,3,2622,2630,d46005ffa78397a9,97,0f1ade2799e01a9f,1,316,316
316,3,2622,2630,082969811b704063,97,0f1ade2799e01a9f,1,317,317
317,9,2350,2374,a35b8e0503b303d5,99,be6cf9f5daa1b46d,1,318,318
318,3,2622,2630,6069eee5f5469d31,97,0f1ade2799e01a9f,1,319,319
319,8,2618,2642,1b8d2000a45c7ac2,102,d9b72fe9cece512d,1,320,320
320,4,2028,2042,72330c4c9a1d19f4,94,846137c8606a2c77,1,321,321
321,10,2350,2374,86a633342862e288,98,cb4c5de470ba3a91,1,322,322
322,4,2028,2042,16bdc32a66b1df76,94,846137c8606a2c77,1,323,323
323,3,2622,2630,d74eccebb4968130,97,0f1ade2799e01a9f,1,324,324
324,3,2622,2630,672cc902a29c8a61,97,0f1ade2799e01a9f,1,325,325
325,4,2028,2042,4e8884c2d46bf685,94,846137c8606a2c77,1,326,326
326,4,2028,2042,4df0c0f417f9e076,94,846137c8606a2c77,1,327,327
327,9,2350,2374,6072cfb0c046bca3,99,be6cf9f5daa1b46d,1,328,328
328,4,2028,2042,57d401194da7cf27,94,846137c8606a2c77,1,329,329
329,4,2624,2638,695fa5c6070bdf71,103,9d8cb7c2d421b364,1,330,330
330,4,2624,2638,14ddfb96db129d56,103,9d8cb7c2d421b364,1,331,331
331,4,2028,2042,37a5118bd00f3275,94,846137c8606a2c77,1,332,332
332,4,2624,2638,b5aec7946b1339d7,103,9d8cb7c2d421b364,1,333,333
333,4,2624,2638,c00b202564ad8372,103,9d8cb7c2d421b364,1,334,334
334,7,2616,2642,e01e4a8dba5f6655,104,12d30bc0239fccad,1,335,335
335,3,2366,2374,132ecaf545cfbb12,101,275b0fc0eefb9622,1,336,336
336,4,2624,2638,b355b030431c09e7,103,9d8cb7c2d421b364,1,337,337
337,3,2366,2374,a80426b1a3a23131,101,275b0fc0eefb9622,1,338,338
338,12,2340,2374,095677009bddd462,105,3f717e2c5246a500,1,339,339
339,7,2616,2642,c00a6989e3d09cda,104,12d30bc0239fccad,1,340,340
340,4,2028,2042,a49df3d839b1f106,94,846137c8606a2c77,1,341,341
341,8,2618,2642,08a66278d46f1d18,102,d9b72fe9cece512d,1,342,342
342,4,2624,2638,cb415a5385c33928,103,9d8cb7c2d421b364,1,343,343
343,4,2624,2638,f8fe8f653350eca0,103,9d8cb7c2d421b364,1,344,344
344,8,2618,2642,dbbdb884bafb9eca,102,d9b72fe9cece512d,1,345,345
345,8,2618,2642,668154ab536459ab,102,d9b72fe9cece512d,1,346,346
346,4,2028,2042,ccfb91ec22805bee,94,846137c8606a2c77,1,347,347
347,4,2624,2638,2fa48a05c0d779ea,103,9d8cb7c2d421b364,1,348,348
348,4,2624,2638,34dafc91bb55a29d,103,9d8cb7c2d421b364,1,349,349
349,4,2624,2638,5e0418ace58b147b,103,9d8cb7c2d421b364,1,350,350
350,4,2624,2638,b43558d434f07d42,103,9d8cb7c2d421b364,1,351,351
351,7,2616,2642,00ccbf04dab12f4b,104,12d30bc0239fccad,1,352,352
352,4,2028,2042,07349083b709aa94,94,846137c8606a2c77,1,353,353
353,9,2350,2374,0260d66c6ce291c9,99,be6cf9f5daa1b46d,1,354,354
354,8,2618,2642,773ec27958ffd86f,102,d9b72fe9cece512d,1,355,355
355,4,2624,2638,5585440e47a95ebc,103,9d8cb7c2d421b364,1,356,356
356,4,2624,2638,b3dc596c644afd96,103,9d8cb7c2d421b364,1,357,357
357,4,2028,2042,06659439b56beb5e,94,846137c8606a2c77,1,358,358
358,3,2366,2374,2201907c9706365a,101,275b0fc0eefb9622,1,359,359
359,10,2350,2374,0e9127ecf68199af,98,cb4c5de470ba3a91,1,360,360
360,4,2028,2042,df860c9e4e986e1f,94,846137c8606a2c77,1,361,361
361,3,2366,2374,e88e153197691dcd,101,275b0fc0eefb9622,1,362,362
362,4,2624,2638,bc6c9cfd6ce5af46,103,9d8cb7c2d421b364,1,363,363
363,4,2028,2042,ec320de8efa94a51,94,846137c8606a2c77,1,364,364
364,4,2624,2638,544ce75a683dac3e,103,9d8cb7c2d421b364,1,365,365
365,4,2624,2638,99c7aed0744011a0,103,9d8cb7c2d421b364,1,366,366
366,3,2366,2374,1a30b6ca59469dde,101,275b0fc0eefb9622,1,367,367
367,4,2624,2638,00f1ac37112087b3,103,9d8cb7c2d421b364,1,368,368
368,4,2624,2638,a86c340efb59a2f0,103,9d8cb7c2d421b364,1,369,369
369,4,2028,2042,87f8323622f6261d,94,846137c8606a2c77,1,370,370
370,4,2028,2042,f80ad96ec179017e,94,846137c8606a2c77,1,371,371
371,8,2618,2642,ad8c5f78fb82534b,102,d9b72fe9cece512d,1,372,372
372,10,2350,2374,59f1b5a2edd35909,98,cb4c5de470ba3a91,1,373,373
373,7,2616,2642,68110fc459e40b40,104,12d30bc0239fccad,1,374,374
374,5,2624,2638,cd5a92e77d769f30,106,e8f7791cc840982e,1,375,375
375,4,2624,2638,d38e75b563c75e48,103,9d8cb7c2d421b364,1,376,376
376,8,2618,2642,79f3e80eb54a1efe,102,d9b72fe9cece512d,1,377,377
377,4,2028,2042,f211dd7184374fd8,94,846137c8606a2c77,1,378,378
378,4,2624,2638,cc78f235394426ce,103,9d8cb7c2d421b364,1,379,379
379,4,2624,2638,b4cc44c572a1cc93,103,9d8cb7c2d421b364,1,380,380
380,4,2624,2638,640669ee2a716fff,103,9d8cb7c2d421b364,1,381,381
