m,trial_idx,rng_seed,timed_out,repeat_after,max_value,cycle_length,cycle_min,cycle_max,distinct_tail_values,value_set
8,731,8582381931837014451,0,52,107,27,28,41,8,28;32;33;34;36;37;39;41
16,598,9136021329271971316,0,226,147,17,112,118,3,112;114;118
8,1453,14247827875493916028,0,140,43,38,22,43,12,22;24;27;29;30;31;34;35;36;39;41;43
8,732,1010675914403026215,0,25,46,9,42,46,3,42;44;46
25,593,1074350634985740181,0,1102,994,52,172,178,4,172;174;176;178
16,599,13904666960414591766,0,132,261,17,112,118,3,112;114;118
8,1454,3345331116103823806,0,132,77,38,22,43,12,22;24;27;29;30;31;34;35;36;39;41;43
49,787,14874677383617443775,0,2427,768,50,196,201,2,196;201
8,733,11899251128807657264,0,43,52,27,28,41,8,28;32;33;34;36;37;39;41
49,1112,11876304107807488627,0,1876,762,50,300,314,4,300;306;310;314
25,286,16285379714851205863,0,746,262,27,198,214,5,198;200;206;208;214
16,600,14232577349715310362,0,253,118,17,112,118,3,112;114;118
8,1455,16327332372702364574,0,85,67,38,22,43,12,22;24;27;29;30;31;34;35;36;39;41;43
8,734,8594397699938682026,0,70,43,38,22,43,12,22;24;27;29;30;31;34;35;36;39;41;43
25,1330,5004056682759332211,0,2436,257,26,112,118,3,112;114;118
25,287,1055893168290382995,0,205,553,26,180,194,3,180;190;194
8,1456,588656612760010930,0,67,56,38,22,43,12,22;24;27;29;30;31;34;35;36;39;41;43
8,735,2904034583550399170,0,114,43,38,22,43,12,22;24;27;29;30;31;34;35;36;39;41;43
8,1457,87216834373233481,0,54,94,9,16,19,2,16;19
49,788,11519029860103689960,0,965,1068,50,350,358,4,350;354;356;358
8,736,9345025986177714633,0,77,44,38,22,43,12,22;24;27;29;30;31;34;35;36;39;41;43
25,594,1749080176582201752,0,1135,339,27,150,166,5,150;156;158;164;166
8,1458,12090352958909949175,0,59,41,10,30,41,5,30;35;36;39;41
8,737,7745619238954507124,0,89,43,38,22,43,12,22;24;27;29;30;31;34;35;36;39;41;43
8,1459,12420557701851418515,0,48,47,9,16,19,2,16;19
16,601,14377025277876885424,0,415,143,287,66,82,8,66;68;70;72;74;76;78;82
8,738,17271662548042039178,0,108,87,38,22,43,12,22;24;27;29;30;31;34;35;36;39;41;43
25,288,5822846169736903586,0,1069,360,135,150,186,14,150;154;156;158;160;162;164;166;168;170;176;178;182;186
8,1460,16974689137687900317,0,100,69,38,22,43,12,22;24;27;29;30;31;34;35;36;39;41;43
49,326,3803545643246084779,0,4968,729,50,300,314,3,300;306;314
16,602,5297893616382663961,0,157,217,17,112,118,4,112;114;116;118
