m,trial_idx,rng_seed,timed_out,repeat_after,max_value,cycle_length,cycle_min,cycle_max,distinct_tail_values,value_set
16,0,16226008763869681327,0,261,189,17,112,118,4,112;114;116;118
3,1000,16281063126065375840,0,14,14,4,12,14,2,12;14
2,1000,13645060171439554386,0,8,5,3,4,5,2,4;5
49,0,11876575118127461096,0,1842,1089,50,288,302,3,288;294;302
2,500,2720292995244204405,0,9,5,3,4,5,2,4;5
4,0,8346079845500723674,0,25,19,6,14,17,4,14;15;16;17
2,250,15764524714424680087,0,9,5,3,4,5,2,4;5
3,0,10753165928301472203,0,14,14,4,12,14,2,12;14
25,1000,3744173029141410213,0,412,322,52,172,178,4,172;174;176;178
2,0,16616101746815609346,0,9,5,3,4,5,2,4;5
8,0,2476628477891077985,0,69,43,38,22,43,12,22;24;27;29;30;31;34;35;36;39;41;43
2,750,1944565635316979671,0,7,5,3,4,5,2,4;5
2,125,10278661278015368886,0,8,5,3,4,5,2,4;5
4,1000,11525411678915735030,0,20,52,7,10,17,6,10;12;13;15;16;17
25,0,17714943439140796905,0,5352,386,135,150,186,14,150;154;156;158;160;162;164;166;168;170;176;178;182;186
2,501,13434455859300499775,0,7,5,3,4,5,2,4;5
2,502,15822718526843952008,0,7,5,3,4,5,2,4;5
2,503,9033577500401864039,0,9,5,3,4,5,2,4;5
125,0,3142648068194189331,0,12064,2724,127,1000,1030,4,1000;1008;1022;1030
2,504,4274540144982806661,0,8,5,3,4,5,2,4;5
2,251,7981156316845240290,0,9,5,3,4,5,2,4;5
2,1001,8735728115924634489,0,9,5,3,4,5,2,4;5
2,1002,14392483402625075095,0,7,5,3,4,5,2,4;5
2,505,7203653340440549177,0,7,5,3,4,5,2,4;5
2,252,3720550803109544557,0,9,5,3,4,5,2,4;5
2,751,8312663126800051482,0,9,5,3,4,5,2,4;5
2,752,2838441077195179838,0,8,5,3,4,5,2,4;5
25,1001,2969786758255549792,0,363,207,52,172,178,4,172;174;176;178
2,506,14999338196132726836,0,9,5,3,4,5,2,4;5
2,126,9273486789485189998,0,8,5,3,4,5,2,4;5
2,127,12889291625562465956,0,9,5,3,4,5,2,4;5
4,1001,3893882254974470259,0,28,19,7,10,17,6,10;12;13;15;16;17
25,1002,3744013715829435389,0,1862,496,52,172,178,4,172;174;176;178
16,1,13821500995345208967,0,184,199,17,112,118,4,112;114;116;118
2,128,7369902374865317985,0,8,5,3,4,5,2,4;5
3,1001,14414147187706210403,0,13,14,4,12,14,2,12;14
2,753,9780677436061311053,0,8,5,3,4,5,2,4;5
4,1,15008804209323424015,0,28,19,7,10,17,6,10;12;13;15;16;17
4,1002,661512202041279232,0,18,19,7,10,17,6,10;12;13;15;16;17
16,2,10167212684466325391,0,169,157,17,112,118,4,112;114;116;118
2,129,14296340382629831835,0,7,5,3,4,5,2,4;5
2,507,3158480466472902428,0,8,5,3,4,5,2,4;5
4,1003,2985955755043631628,0,28,19,7,10,17,6,10;12;13;15;16;17
2,253,15901854119854489214,0,6,5,3,4,5,2,4;5
2,130,8510149086629175716,0,8,5,3,4,5,2,4;5
4,1004,3294939658930625754,0,26,19,7,10,17,6,10;12;13;15;16;17
2,508,5547818647571398221,0,9,5,3,4,5,2,4;5
2,1003,6348810961519262667,0,9,5,3,4,5,2,4;5
2,1004,1723551722351940343,0,7,5,3,4,5,2,4;5
2,1005,1010897137110477626,0,9,5,3,4,5,2,4;5
2,1006,11649701642075172575,0,7,5,3,4,5,2,4;5
2,1007,10812621157635938157,0,7,5,3,4,5,2,4;5
2,1008,7253668668480148814,0,9,5,3,4,5,2,4;5
2,754,5417005242593061876,0,9,5,3,4,5,2,4;5
2,1009,7663682538088097690,0,9,22,3,4,5,2,4;5
4,1005,16467883395236208216,0,35,22,7,10,17,6,10;12;13;15;16;17
2,131,8133122864504694632,0,9,5,3,4,5,2,4;5
25,1003,2848102853443892885,0,651,409,27,150,166,5,150;156;158;164;166
2,1,375538956547822618,0,9,5,3,4,5,2,4;5
2,132,8539018688577976082,0,9,5,3,4,5,2,4;5
25,1,2817259568698677116,0,2074,264,52,172,178,4,172;174;176;178
2,133,8155978593794477784,0,9,5,3,4,5,2,4;5
2,254,4965782756239256186,0,7,5,3,4,5,2,4;5
2,2,2550430929917089343,0,9,5,3,4,5,2,4;5
3,1002,76731611035078591,0,13,14,4,12,14,2,12;14
2,134,10636650217623724185,0,9,5,3,4,5,2,4;5
4,1006,4667898555559245616,0,29,19,7,10,17,6,10;12;13;15;16;17
2,255,9739936858811788539,0,11,8,1,8,8,1,8
2,3,7357553710787071158,0,9,5,3,4,5,2,4;5
16,3,8027953728027066973,0,290,118,17,112,118,4,112;114;116;118
25,2,1717740857650952320,0,1052,289,135,150,186,14,150;154;156;158;160;162;164;166;168;170;176;178;182;186
8,1,5154477587394065939,0,79,43,38,22,43,12,22;24;27;29;30;31;34;35;36;39;41;43
25,1004,2591132053967333164,0,2149,209,27,150,166,5,150;156;158;164;166
8,2,11029765536161403394,0,43,70,9,16,19,2,16;19
8,3,9318460201679628153,0,74,62,38,22,43,12,22;24;27;29;30;31;34;35;36;39;41;43
2,135,7355417757024247485,0,9,5,3,4,5,2,4;5
8,4,9815657126142687386,0,52,54,9,16,19,2,16;19
2,509,7818424851059028990,0,9,5,3,4,5,2,4;5
25,1005,2714373234612060112,0,197,318,52,172,178,4,172;174;176;178
8,5,6006199934397292,0,117,45,38,22,43,12,22;24;27;29;30;31;34;35;36;39;41;43
8,6,12098951575146273906,0,38,55,10,30,41,5,30;35;36;39;41
2,510,10268453617059317713,0,7,5,3,4,5,2,4;5
8,7,8605050006671886433,0,35,52,9,16,19,2,16;19
2,511,472139801879774740,0,9,5,3,4,5,2,4;5
2,136,9616357943430487945,0,9,5,3,4,5,2,4;5
2,137,17804068396027227630,0,8,5,3,4,5,2,4;5
2,512,3486903057956883423,0,9,5,3,4,5,2,4;5
4,2,6309679740021711062,0,30,19,7,10,17,6,10;12;13;15;16;17
2,138,11867099322486093934,0,7,5,3,4,5,2,4;5
2,755,11911206574984991684,0,8,5,3,4,5,2,4;5
25,1006,1871914917608325825,0,1031,698,52,172,178,4,172;174;176;178
3,1003,10416177799671463014,0,13,14,4,12,14,2,12;14
3,1004,2881095857420200250,0,13,14,4,12,14,2,12;14
3,1005,2081648945004112304,0,14,14,4,12,14,2,12;14
8,8,16270665206439660072,0,102,58,38,22,43,12,22;24;27;29;30;31;34;35;36;39;41;43
3,1006,16757052604281538398,0,16,14,4,12,14,2,12;14
3,1007,7002582064176124070,0,27,14,4,12,14,2,12;14
3,1008,10453790494258136372,0,14,14,4,12,14,2,12;14
8,9,3607262806674775870,0,107,67,38,22,43,12,22;24;27;29;30;31;34;35;36;39;41;43
3,1009,8040183942123855629,0,14,14,4,12,14,2,12;14
25,1007,9302844384721471252,0,1215,654,445,180,206,10,180;184;186;188;190;192;194;198;202;206
3,1010,6886202223330450991,0,13,14,4,12,14,2,12;14
8,10,5126879623767912206,0,120,64,38,22,43,12,22;24;27;29;30;31;34;35;36;39;41;43
2,756,17879387312739485832,0,8,5,3,4,5,2,4;5
3,1011,15014514813951973986,0,16,14,4,12,14,2,12;14
8,11,15339809736194437206,0,83,71,38,22,43,12,22;24;27;29;30;31;34;35;36;39;41;43
2,757,9258063079092421566,0,9,5,3,4,5,2,4;5
8,12,114950849595094763,0,32,96,9,42,46,3,42;44;46
16,4,3110029654214740609,0,271,284,17,112,118,4,112;114;116;118
2,758,5049938273932623943,0,7,5,3,4,5,2,4;5
2,759,789129932891338391,0,9,5,3,4,5,2,4;5
2,760,15430466943852771803,0,7,5,3,4,5,2,4;5
8,13,16022554593003472118,0,126,48,38,22,43,12,22;24;27;29;30;31;34;35;36;39;41;43
2,761,12180023486914372023,0,9,5,3,4,5,2,4;5
3,1012,6545208373535807970,0,14,14,4,12,14,2,12;14
4,3,13467384930342963553,0,23,19,7,10,17,6,10;12;13;15;16;17
2,256,4982391646834920272,0,9,5,3,4,5,2,4;5
25,3,10313318777921797562,0,2484,306,135,150,186,14,150;154;156;158;160;162;164;166;168;170;176;178;182;186
4,1007,6982433285387478495,0,37,19,7,10,17,6,10;12;13;15;16;17
16,5,8630158736838501435,0,165,123,17,112,118,4,112;114;116;118
2,513,7835133512334584661,0,6,8,1,8,8,1,8
25,4,17630114219109371486,0,580,272,52,172,178,4,172;174;176;178
4,1008,3558390283867370615,0,37,19,7,10,17,6,10;12;13;15;16;17
2,4,12189813936006592891,0,9,5,3,4,5,2,4;5
4,1009,10212976889697445582,0,20,19,7,10,17,6,10;12;13;15;16;17
2,5,6052418810117308846,0,9,5,3,4,5,2,4;5
4,4,8587836666526045312,0,18,17,6,14,17,4,14;15;16;17
4,1010,6823931055065090950,0,19,19,6,14,17,4,14;15;16;17
25,5,3004439450594220973,0,918,247,135,150,186,14,150;154;156;158;160;162;164;166;168;170;176;178;182;186
2,139,8862385444445534945,0,8,5,3,4,5,2,4;5
25,1008,14512348643357128241,0,3304,542,135,150,186,14,150;154;156;158;160;162;164;166;168;170;176;178;182;186
4,1011,317490360584853967,0,20,19,7,10,17,6,10;12;13;15;16;17
3,1013,2771210199879377368,0,16,14,4,12,14,2,12;14
2,257,15891721687457814486,0,8,5,3,4,5,2,4;5
4,5,16708817618719668424,0,31,21,6,14,17,4,14;15;16;17
4,1012,14273973371979430456,0,29,23,6,14,17,4,14;15;16;17
2,762,10113511969067277451,0,9,5,3,4,5,2,4;5
25,6,8440028609999060276,0,640,457,27,150,166,5,150;156;158;164;166
4,6,9783534622802940368,0,31,21,6,14,17,4,14;15;16;17
3,1014,7191968941365012586,0,14,14,4,12,14,2,12;14
2,6,9016337095563501957,0,9,5,3,4,5,2,4;5
8,14,135938982641504586,0,43,41,27,28,41,8,28;32;33;34;36;37;39;41
2,763,794984289327531729,0,9,5,3,4,5,2,4;5
25,1009,11551245574506402271,0,1420,365,26,114,118,3,114;116;118
2,764,3178847392391099687,0,9,10,3,4,5,2,4;5
2,765,9901719143222210358,0,9,5,3,4,5,2,4;5
2,766,15739698548740179203,0,9,5,3,4,5,2,4;5
4,7,9164696331676904074,0,32,21,6,14,17,4,14;15;16;17
25,1010,331847764844010400,0,1121,249,27,150,166,5,150;156;158;164;166
2,767,1450826819929046198,0,9,5,3,4,5,2,4;5
4,8,55900194377452773,0,22,19,7,10,17,6,10;12;13;15;16;17
2,768,14598668609060450405,0,9,5,3,4,5,2,4;5
2,769,5549575038445831937,0,7,5,3,4,5,2,4;5
25,1011,7713169757890612752,0,425,267,26,180,194,3,180;190;194
4,9,8421589522678485312,0,28,19,7,10,17,6,10;12;13;15;16;17
2,770,17080168243701866713,0,9,5,3,4,5,2,4;5
2,771,4812584661489372956,0,9,5,3,4,5,2,4;5
4,10,12681446699838032352,0,26,19,7,10,17,6,10;12;13;15;16;17
2,772,16512868335653590684,0,7,5,3,4,5,2,4;5
2,773,2273571073190038143,0,9,5,3,4,5,2,4;5
4,11,13357192396819282475,0,30,21,6,14,17,4,14;15;16;17
2,774,16403987927201906765,0,8,5,3,4,5,2,4;5
4,1013,11764227304508141993,0,25,19,7,10,17,6,10;12;13;15;16;17
2,775,17975865007171078071,0,9,5,3,4,5,2,4;5
4,12,133003941035721018,0,27,19,7,10,17,6,10;12;13;15;16;17
2,776,8864210698860039187,0,9,5,3,4,5,2,4;5
4,13,12003403404805621760,0,15,17,7,10,17,6,10;12;13;15;16;17
25,1012,8919358603463814126,0,774,299,26,180,194,3,180;190;194
2,777,16754644004786766573,0,7,5,3,4,5,2,4;5
4,14,8043225348160322628,0,30,28,5,20,22,2,20;22
2,778,3091771571740853070,0,9,5,3,4,5,2,4;5
2,7,11928911185278984930,0,9,5,3,4,5,2,4;5
25,1013,5439089793635787118,0,797,317,135,150,186,14,150;154;156;158;160;162;164;166;168;170;176;178;182;186
4,15,16073649285277990176,0,32,19,7,10,17,6,10;12;13;15;16;17
4,16,5327038608363165016,0,14,22,5,20,22,2,20;22
4,17,11523240775620027811,0,16,18,7,10,17,6,10;12;13;15;16;17
4,18,4473178317553974129,0,34,21,6,14,17,4,14;15;16;17
2,1010,12505225773742396730,0,9,5,3,4,5,2,4;5
3,1015,9069207997522373345,0,22,14,4,12,14,2,12;14
25,1014,1697271783310923381,0,950,487,26,180,194,3,180;190;194
25,7,1699578097279425568,0,1031,319,52,172,178,4,172;174;176;178
25,1015,2842597326924570850,0,560,359,26,180,194,3,180;190;194
2,140,17425273529814671500,0,8,8,1,8,8,1,8
25,1016,5768781500680532397,0,301,449,52,172,178,4,172;174;176;178
25,8,9917041777119171790,0,1000,303,27,150,166,5,150;156;158;164;166
2,141,16839029889256657233,0,9,5,3,4,5,2,4;5
16,6,18372820822054992572,0,399,99,287,66,82,8,66;68;70;72;74;76;78;82
2,779,10213637019541923610,0,9,5,3,4,5,2,4;5
16,7,10438773487690055102,0,130,251,17,112,118,4,112;114;116;118
2,780,5405925007493908744,0,6,10,1,8,8,1,8
49,1,4313419424435838516,0,625,920,50,350,358,4,350;354;356;358
16,8,12345847533958362959,0,201,337,17,112,118,4,112;114;116;118
2,781,11783451558718429187,0,9,5,3,4,5,2,4;5
2,782,6825355428950333252,0,9,5,3,4,5,2,4;5
16,9,4201134620444895526,0,82,118,17,112,118,4,112;114;116;118
2,8,7430849974911961468,0,9,5,3,4,5,2,4;5
2,258,10808558701955018064,0,8,5,3,4,5,2,4;5
2,783,4384192256046036018,0,9,5,3,4,5,2,4;5
49,2,17791490766703680481,0,2073,649,50,288,302,3,288;294;302
2,784,6954067028342861927,0,6,5,3,4,5,2,4;5
2,785,4453301992780834980,0,9,5,3,4,5,2,4;5
2,786,3829910464651523956,0,9,5,3,4,5,2,4;5
2,787,2611126146562620987,0,8,5,3,4,5,2,4;5
2,514,10813688266018842788,0,9,5,3,4,5,2,4;5
2,788,8133516075218922521,0,9,5,3,4,5,2,4;5
49,3,7194995650271328049,0,514,851,50,350,358,4,350;354;356;358
2,515,14154697237295175774,0,9,5,3,4,5,2,4;5
2,789,15433327674554988287,0,9,5,3,4,5,2,4;5
2,790,14810576999023502488,0,8,5,3,4,5,2,4;5
2,1011,1030528669233668378,0,8,5,3,4,5,2,4;5
2,516,15696260759070328454,0,7,5,3,4,5,2,4;5
2,791,2457003721552365174,0,8,5,3,4,5,2,4;5
3,1016,4720460462819479864,0,17,14,4,12,14,2,12;14
2,517,11489379419829977453,0,9,5,3,4,5,2,4;5
3,1017,13303611647289656363,0,16,14,4,12,14,2,12;14
2,1012,2024017778117188873,0,9,5,3,4,5,2,4;5
2,518,14828278717626568480,0,8,5,3,4,5,2,4;5
2,792,7936317157577996814,0,9,5,3,4,5,2,4;5
2,1013,9977550609608493109,0,9,5,3,4,5,2,4;5
3,1018,14148443268327787329,0,15,14,4,12,14,2,12;14
49,4,1855110033000347345,0,1549,709,50,300,314,4,300;306;310;314
2,519,6539356958200831784,0,7,5,3,4,5,2,4;5
2,1014,5371775129853783919,0,9,5,3,4,5,2,4;5
3,1019,15370081717600159301,0,13,14,4,12,14,2,12;14
2,793,12339727309785578066,0,6,5,3,4,5,2,4;5
4,1014,6984868250689632965,0,17,27,6,14,17,4,14;15;16;17
3,1020,54675906172425188,0,14,14,4,12,14,2,12;14
2,520,13967221202229258886,0,9,5,3,4,5,2,4;5
25,9,334762302782734918,0,454,332,52,172,178,4,172;174;176;178
2,794,13441514454427358061,0,7,9,3,4,5,2,4;5
2,795,2163027775796404082,0,9,5,3,4,5,2,4;5
2,796,12454819941339193978,0,9,5,3,4,5,2,4;5
2,797,10774901217253283552,0,6,5,3,4,5,2,4;5
2,798,12371314784554274470,0,7,5,3,4,5,2,4;5
3,1,17088348465015110439,0,12,15,4,12,14,2,12;14
2,799,5550161098948278773,0,9,5,3,4,5,2,4;5
2,800,6264445216880298932,0,9,5,3,4,5,2,4;5
3,2,17982240786130420873,0,16,14,4,12,14,2,12;14
2,801,11188132785857106765,0,8,5,3,4,5,2,4;5
3,3,1166443674618871742,0,14,15,4,12,14,2,12;14
25,1017,11069947686550777874,0,1304,352,135,150,186,14,150;154;156;158;160;162;164;166;168;170;176;178;182;186
2,802,16753512238761577992,0,9,5,3,4,5,2,4;5
3,4,11580554833221935028,0,23,14,4,12,14,2,12;14
2,803,17973970028803261758,0,7,5,3,4,5,2,4;5
8,15,12704549704187602462,0,122,43,38,22,43,12,22;24;27;29;30;31;34;35;36;39;41;43
16,10,1246664680493557122,0,232,118,34,76,82,4,76;78;80;82
8,16,14520787536146282568,0,113,43,38,22,43,12,22;24;27;29;30;31;34;35;36;39;41;43
25,1018,7705393244996353566,0,1594,1002,445,180,206,10,180;184;186;188;190;192;194;198;202;206
16,11,16139738648818835599,0,112,179,17,112,118,3,112;114;118
8,17,17574326802719125141,0,141,45,38,22,43,12,22;24;27;29;30;31;34;35;36;39;41;43
4,19,11142461759314344985,0,37,19,7,10,17,6,10;12;13;15;16;17
2,259,143310338669576420,0,8,5,3,4,5,2,4;5
2,260,13221592582366323488,0,10,8,1,8,8,1,8
2,261,15643527473253512855,0,9,5,3,4,5,2,4;5
2,1015,12783740724418305029,0,7,11,3,4,5,2,4;5
25,1019,6912533559657816915,0,3139,473,27,150,166,5,150;156;158;164;166
2,262,388773916825484110,0,9,5,3,4,5,2,4;5
2,263,9592817035623572702,0,9,5,3,4,5,2,4;5
2,1016,11376306675134189408,0,9,5,3,4,5,2,4;5
4,1015,16689740015416873638,0,29,21,6,14,17,4,14;15;16;17
25,1020,17542553801429051243,0,1958,530,26,186,188,2,186;188
2,142,2858879204187856716,0,9,5,3,4,5,2,4;5
25,1021,6512323323013661829,0,3589,417,26,180,194,3,180;190;194
2,143,14866519567706035875,0,8,5,3,4,5,2,4;5
49,5,6005248624154191427,0,456,625,50,350,358,4,350;354;356;358
2,144,16432371910692293407,0,7,5,3,4,5,2,4;5
2,145,13243274433100029841,0,8,5,3,4,5,2,4;5
25,10,8522367640569020007,0,1217,543,445,180,206,10,180;184;186;188;190;192;194;198;202;206
2,146,6135886874107600457,0,8,5,3,4,5,2,4;5
3,5,5597067193301015822,0,17,20,4,12,14,2,12;14
2,147,16723493582804033395,0,9,5,3,4,5,2,4;5
3,6,7889479161466862419,0,22,14,4,12,14,2,12;14
2,148,8905068411898819987,0,9,5,3,4,5,2,4;5
2,804,10014845099137110705,0,6,5,3,4,5,2,4;5
49,6,2566713787315749562,0,1704,961,50,350,358,4,350;354;356;358
25,1022,12625257867825549958,0,823,197,135,150,186,14,150;154;156;158;160;162;164;166;168;170;176;178;182;186
4,20,9900804908563339216,0,25,29,7,10,17,6,10;12;13;15;16;17
49,7,1337694782423158003,0,1618,830,50,350,358,4,350;354;356;358
4,21,7133658176135037355,0,20,19,7,10,17,6,10;12;13;15;16;17
4,22,17774309707763581654,0,18,17,7,10,17,6,10;12;13;15;16;17
16,12,10410847703224585406,0,371,166,17,112,118,3,112;114;118
4,23,4409242541208310751,0,18,19,7,10,17,6,10;12;13;15;16;17
2,9,2059121895885587829,0,9,5,3,4,5,2,4;5
4,24,3249876358728962819,0,25,19,6,14,17,4,14;15;16;17
4,25,14453155460246798693,0,17,17,7,10,17,6,10;12;13;15;16;17
16,13,13337918573138731616,0,95,211,17,114,118,3,114;116;118
2,264,15984269338924750322,0,8,5,3,4,5,2,4;5
25,1023,8346192714914527542,0,3323,245,135,150,186,14,150;154;156;158;160;162;164;166;168;170;176;178;182;186
2,10,3408361097869383754,0,7,5,3,4,5,2,4;5
2,11,13744772521246988796,0,8,5,3,4,5,2,4;5
2,12,4093019589538198312,0,9,5,3,4,5,2,4;5
2,13,3318354627901744203,0,8,5,3,4,5,2,4;5
2,14,9498855399237202637,0,6,8,1,8,8,1,8
2,521,10670321288379304941,0,8,5,3,4,5,2,4;5
2,15,2841935330007315448,0,6,5,3,4,5,2,4;5
25,1024,10848417031864955217,0,751,214,79,180,206,10,180;184;186;188;190;192;194;198;202;206
2,522,11862296512690467903,0,8,5,3,4,5,2,4;5
4,1016,10801973857851002030,0,28,19,7,10,17,6,10;12;13;15;16;17
2,16,8859500118943522980,0,11,8,1,8,8,1,8
3,1021,7799076825249484698,0,18,14,4,12,14,2,12;14
25,1025,16341964025827115902,0,1891,257,135,150,186,14,150;154;156;158;160;162;164;166;168;170;176;178;182;186
3,7,5841532732193313550,0,16,14,4,12,14,2,12;14
3,1022,18042696144559699538,0,23,14,4,12,14,2,12;14
3,8,14403624071808596949,0,12,23,4,12,14,2,12;14
3,1023,7397255512670991102,0,13,14,4,12,14,2,12;14
3,9,6457823926005253227,0,16,14,4,12,14,2,12;14
3,1024,15939378294287402729,0,16,14,4,12,14,2,12;14
3,10,13266442096234036116,0,14,17,4,12,14,2,12;14
3,1025,9150003104321001735,0,12,14,4,12,14,2,12;14
25,1026,13512079943521544349,0,1005,294,26,180,194,3,180;190;194
3,1026,2384645182561413490,0,13,14,4,12,14,2,12;14
3,1027,14637367552943660496,0,14,14,4,12,14,2,12;14
2,149,3399977062152287333,0,9,5,3,4,5,2,4;5
3,11,11273514265496785937,0,24,16,4,12,14,2,12;14
8,18,436146044766705283,0,113,118,38,22,43,12,22;24;27;29;30;31;34;35;36;39;41;43
3,1028,12971050929439139420,0,12,14,4,12,14,2,12;14
3,12,4343232623090607373,0,15,14,4,12,14,2,12;14
2,150,3503522398639406055,0,9,5,3,4,5,2,4;5
3,1029,9526923345998578574,0,18,14,4,12,14,2,12;14
3,13,18190707166209427379,0,14,14,4,12,14,2,12;14
25,11,6897724685541193873,0,808,410,27,150,166,5,150;156;158;164;166
2,1017,2231807980609664388,0,9,5,3,4,5,2,4;5
25,1027,15348873775688441357,0,1725,286,135,150,186,14,150;154;156;158;160;162;164;166;168;170;176;178;182;186
16,14,10617372715947836991,0,114,118,17,112,118,4,112;114;116;118
4,1017,12641842490723582882,0,25,19,7,10,17,6,10;12;13;15;16;17
2,17,11496109178432228437,0,9,5,3,4,5,2,4;5
49,8,13696373482533266049,0,1050,722,50,350,358,4,350;354;356;358
8,19,11217884518391517515,0,93,43,38,22,43,12,22;24;27;29;30;31;34;35;36;39;41;43
3,1030,17998250758438693933,0,16,14,4,12,14,2,12;14
2,805,14216270619093407242,0,10,8,1,8,8,1,8
16,15,15642374854498987811,0,582,187,17,112,118,3,112;114;118
16,16,12641236193243798501,0,112,430,17,112,118,3,112;114;118
2,1018,5469000389005737223,0,9,5,3,4,5,2,4;5
3,1031,18107522668457309787,0,14,14,4,12,14,2,12;14
25,1028,16977390159280776983,0,1711,205,52,172,178,4,172;174;176;178
2,1019,7246148291820083891,0,8,5,3,4,5,2,4;5
3,1032,538918336071524053,0,16,14,4,12,14,2,12;14
25,12,12175517314907210149,0,1321,218,52,172,178,4,172;174;176;178
2,523,14943282208628216045,0,9,5,3,4,5,2,4;5
49,9,1884524789738507373,0,3084,1412,50,350,358,4,350;354;356;358
2,524,9089720006882850696,0,8,5,3,4,5,2,4;5
3,14,9069849605424125236,0,15,14,4,12,14,2,12;14
49,10,12377767127568111277,0,625,1185,50,350,358,4,350;354;356;358
3,15,17184686156131807463,0,19,14,4,12,14,2,12;14
2,525,6143840080684841034,0,9,5,3,4,5,2,4;5
2,18,3217948574070492877,0,7,5,3,4,5,2,4;5
25,13,7407266007015577139,0,1656,420,52,172,178,4,172;174;176;178
2,526,2583033699982235721,0,9,5,3,4,5,2,4;5
3,16,14148954850308739605,0,18,14,4,12,14,2,12;14
2,19,17394250516147046409,0,9,5,3,4,5,2,4;5
2,527,11471530533152642363,0,7,5,3,4,5,2,4;5
3,17,16099436860654608111,0,22,17,4,12,14,2,12;14
2,20,17766483766046057691,0,9,5,3,4,5,2,4;5
2,1020,7904491875002767257,0,8,5,3,4,5,2,4;5
2,528,13917966972017734587,0,7,5,3,4,5,2,4;5
2,21,13845954185391296185,0,8,5,3,4,5,2,4;5
3,18,18288413143836726479,0,24,14,4,12,14,2,12;14
2,529,5371042426443700659,0,9,5,3,4,5,2,4;5
2,22,4420944499555576074,0,9,5,3,4,5,2,4;5
3,19,8344849488664382047,0,12,14,4,12,14,2,12;14
2,530,309831078562044051,0,8,5,3,4,5,2,4;5
2,1021,11530443043729052376,0,6,5,3,4,5,2,4;5
4,1018,634044640921644443,0,30,19,7,10,17,6,10;12;13;15;16;17
3,20,9002158502538407142,0,15,14,4,12,14,2,12;14
2,1022,7238880819845922670,0,8,5,3,4,5,2,4;5
2,23,16319350633687802181,0,11,8,1,8,8,1,8
25,14,18023351893938056679,0,1197,389,445,180,206,10,180;184;186;188;190;192;194;198;202;206
2,531,1892185884711256618,0,9,5,3,4,5,2,4;5
2,1023,15051564888912291799,0,9,5,3,4,5,2,4;5
4,26,5863888125419523140,0,15,17,6,14,17,4,14;15;16;17
4,27,5978860217676469901,0,18,33,7,10,17,6,10;12;13;15;16;17
2,1024,1653278238117675937,0,8,5,3,4,5,2,4;5
49,11,12060836185213406495,0,2645,735,50,350,358,4,350;354;356;358
2,806,15834080525578338568,0,9,5,3,4,5,2,4;5
4,28,180084055086477123,0,18,31,5,20,22,2,20;22
2,807,2838704851582314760,0,7,5,3,4,5,2,4;5
4,29,7686734024535853031,0,22,17,7,10,17,6,10;12;13;15;16;17
16,17,7576084124521336168,0,300,193,17,112,118,3,112;114;118
2,808,5857990860696951499,0,7,8,1,8,8,1,8
2,809,12541513958556957200,0,10,9,1,8,8,1,8
4,30,11571524764466626124,0,33,21,6,14,17,4,14;15;16;17
49,12,13326282144616362158,0,370,744,50,350,358,4,350;354;356;358
2,810,1318616844708932716,0,9,5,3,4,5,2,4;5
16,18,9396484926282880306,0,216,122,17,112,118,4,112;114;116;118
3,21,3599651297284641631,0,7,25,1,9,9,1,9
4,31,18060100885531355174,0,37,19,7,10,17,6,10;12;13;15;16;17
4,32,3586435114888421854,0,27,19,7,10,17,6,10;12;13;15;16;17
2,532,3195794142782831971,0,9,5,3,4,5,2,4;5
2,533,14827381203798611485,0,9,5,3,4,5,2,4;5
4,33,8133764176907302633,0,31,19,7,10,17,6,10;12;13;15;16;17
2,534,13939576824183264773,0,9,5,3,4,5,2,4;5
2,535,13099434766959793898,0,9,5,3,4,5,2,4;5
4,1019,6566289319449797430,0,33,21,6,14,17,4,14;15;16;17
4,34,8218538124798110680,0,30,19,7,10,17,6,10;12;13;15;16;17
2,24,7934077356640972068,0,9,5,3,4,5,2,4;5
4,35,2273467615347670300,0,28,23,7,10,17,6,10;12;13;15;16;17
2,151,17573853704782999396,0,8,5,3,4,5,2,4;5
4,36,4434086825460185140,0,28,19,7,10,17,6,10;12;13;15;16;17
49,13,18096773744112354381,0,6058,863,50,300,314,4,300;306;310;314
25,1029,6862134328534017358,0,1638,298,135,150,186,14,150;154;156;158;160;162;164;166;168;170;176;178;182;186
25,1030,15178085910633131531,0,624,230,27,150,166,5,150;156;158;164;166
2,25,743569248822875419,0,8,5,3,4,5,2,4;5
49,14,15703833979627028838,0,2975,1603,50,300,314,4,300;306;310;314
8,20,16817211420782528396,0,100,43,38,22,43,12,22;24;27;29;30;31;34;35;36;39;41;43
2,26,18067505028432554774,0,9,5,3,4,5,2,4;5
2,27,3570102303101632455,0,9,5,3,4,5,2,4;5
2,28,4050751026667256482,0,9,5,3,4,5,2,4;5
16,19,15282890433928066048,0,178,149,17,112,118,3,112;114;118
2,29,5468482329043026740,0,11,8,1,8,8,1,8
8,21,10489287068025033202,0,41,41,10,30,41,5,30;35;36;39;41
2,30,6085175208378103716,0,9,5,3,4,5,2,4;5
16,20,1522259382206510876,0,330,744,17,112,118,4,112;114;116;118
25,1031,4246006570380320289,0,3816,258,27,150,166,5,150;156;158;164;166
2,31,2046675589066941514,0,9,5,3,4,5,2,4;5
8,22,16423722454459713397,0,51,56,27,28,41,8,28;32;33;34;36;37;39;41
2,1025,16169285853244217794,0,10,8,1,8,8,1,8
