m,realised_K,n_admissible,pos_index,min_admissible_K,max_admissible_K
1398,9410,201,55,3373,16446
1401,9410,204,54,3373,16446
1402,10202,220,68,3373,16462
1403,6733,213,21,3373,16446
1404,9410,203,53,3373,16470
1406,9410,213,59,3373,16446
1407,9410,206,51,3373,16446
1408,9410,213,57,3373,16462
1409,10202,208,65,3373,16446
1410,7562,192,27,3373,16446
1411,9410,219,54,3373,16470
1412,10202,217,67,3373,16446
1413,9410,204,55,3373,16446
1415,7562,205,29,3373,16446
1416,9410,201,52,3373,16446
1417,6733,215,19,3373,16462
1418,10202,213,69,3373,16470
1419,9410,201,49,3373,16446
1420,9410,209,55,3373,16462
1421,9410,209,53,3373,16446
1422,9410,208,53,3373,16446
1424,9410,208,55,3373,16446
1425,9410,198,51,3373,16470
1426,9410,214,54,3373,16462
1427,9410,222,57,3373,16446
1428,9410,197,53,3373,16446
1430,9410,201,52,3373,16446
1437,10202,203,59,3373,16446
1441,9410,214,54,3373,16462
1445,7562,197,25,3373,16446
1446,9410,202,50,3373,16470
1447,9410,218,49,3373,16462
1450,10202,203,66,3373,16462
1452,9410,199,48,3373,16446
1453,10202,209,64,3373,16470
1454,10202,204,64,3373,16446
1458,9410,194,48,3373,16446
1460,10202,199,62,3373,16470
1461,9410,194,46,3373,16446
1463,9410,201,49,3373,16446
1465,9410,197,46,3373,16462
1467,9410,206,47,3373,16470
1469,10202,205,61,3373,16446
1471,9410,207,47,3373,16462
1472,10202,210,58,3373,16446
1474,9410,205,46,3373,16470
1476,9410,196,47,3373,16446
1477,9410,205,45,3373,16462
1478,9410,204,50,3373,16446
1482,10202,196,54,3373,16446
1484,9410,195,45,3373,16446
1485,9410,187,44,3373,16446
1486,9410,203,45,3373,16462
1487,9410,204,45,3373,16446
1490,10202,195,60,3373,16446
1529,9410,192,40,3373,16446
1531,9410,204,41,3373,16462
1532,9410,200,43,3373,16446
1535,9410,191,37,3373,16446
1536,9410,185,37,3373,16446
1603,9410,172,30,3373,16462
1604,9410,173,32,3373,16446
1605,9410,159,27,3373,16446
1606,9410,175,30,3373,16462
1608,9410,164,28,3373,16446
1609,9410,177,32,3373,16462
1612,9410,180,29,3373,16462
1614,9410,167,29,3373,16470
1615,9410,171,28,3373,16462
1616,9410,175,33,3373,16446
1621,9410,180,31,3373,16470
1622,9410,178,30,3373,16446
1623,9410,165,31,3373,16446
1624,9410,169,27,3373,16462
1625,9410,164,31,3373,16446
1640,9410,163,29,3373,16446
1641,9410,162,29,3373,16446
1642,9410,181,29,3373,16470
1643,10202,171,36,3373,16446
1678,10202,166,32,3373,16462
1751,9410,167,28,3645,16446
1752,10202,158,28,3645,16446
1753,9410,160,25,3645,16462
1788,9410,145,22,3645,16446
