m,x,q
381,9144,24
382,6876,18
383,3064,8
383,4596,12
384,23040,60
385,36960,96
386,6948,18
388,7760,20
388,9312,24
389,3112,8
389,4668,12
390,24960,64
391,14076,36
392,18816,48
392,35280,90
393,9432,24
394,7092,18
395,14220,36
397,3176,8
397,4764,12
398,7164,18
399,31920,80
400,10000,25
400,28800,72
400,33600,84
401,3208,8
401,4812,12
402,16080,40
403,14508,36
404,8080,20
404,9696,24
406,16240,40
406,19488,48
407,14652,36
408,19584,48
408,22848,56
409,3272,8
409,4908,12
410,19680,48
411,9864,24
412,8240,20
412,9888,24
413,14868,36
414,19872,48
415,14940,36
417,10008,24
418,16720,40
418,20064,48
419,3352,8
419,5028,12
420,40320,96
421,3368,8
421,5052,12
422,7596,18
424,6784,16
424,15264,36
425,30600,72
426,17040,40
427,15372,36
428,8560,20
428,10272,24
429,34320,80
430,20640,48
431,3448,8
431,5172,12
432,32400,75
433,3464,8
433,5196,12
434,17360,40
434,20832,48
436,8720,20
436,10464,24
437,15732,36
438,17520,40
439,3512,8
439,5268,12
440,24640,56
440,39600,90
442,17680,40
442,21216,48
443,3544,8
443,5316,12
444,14208,32
444,26640,60
445,16020,36
446,8028,18
447,10728,24
448,17920,40
448,28224,63
449,3592,8
449,5388,12
450,24300,54
451,16236,36
452,9040,20
452,10848,24
453,10872,24
454,8172,18
455,43680,96
456,21888,48
456,25536,56
457,3656,8
457,5484,12
458,8244,18
459,16524,36
459,27540,60
459,36720,80
460,14720,32
460,27600,60
460,33120,72
461,3688,8
461,5532,12
462,29568,64
462,55440,120
463,3704,8
463,5556,12
464,12992,28
466,8388,18
467,3736,8
467,5604,12
469,16884,36
470,22560,48
471,11304,24
472,7552,16
472,16992,36
473,17028,36
474,18960,40
475,34200,72
476,15232,32
476,34272,72
478,8604,18
479,3832,8
479,5748,12
480,34560,72
481,17316,36
482,8676,18
483,38640,80
484,29040,60
485,17460,36
486,20412,42
487,3896,8
487,5844,12
488,7808,16
488,17568,36
489,11736,24
491,3928,8
491,5892,12
492,15744,32
492,29520,60
493,17748,36
494,19760,40
494,23712,48
495,47520,96
496,13888,28
497,17892,36
498,19920,40
499,3992,8
499,5988,12
500,16000,32
500,22500,45
500,36000,72
501,12024,24
502,9036,18
503,4024,8
503,6036,12
505,18180,36
506,20240,40
