m,K,bar_tau,bar_v,cmin,cmax,tau_min,tau_max,range_v
1194,9410,7.874477,9402.125523,9394,9406,4,16,12
1195,9410,7.867893,9402.132107,9394,9406,4,16,12
1196,7562,6.317460,7555.682540,7546,7558,4,16,12
1197,6242,5.210351,6236.789649,6210,6238,4,32,28
1198,7562,6.306922,7555.693078,7546,7558,4,16,12
1199,7562,6.301667,7555.698333,7546,7558,4,16,12
1200,9410,7.835137,9402.164863,9394,9406,4,16,12
1201,9410,7.828619,9402.171381,9394,9406,4,16,12
1203,7562,6.280731,7555.719269,7546,7558,4,16,12
1204,9410,7.809129,9402.190871,9394,9406,4,16,12
1205,9410,7.802653,9402.197347,9394,9406,4,16,12
1206,9410,7.796189,9402.203811,9394,9406,4,16,12
1207,9410,7.789735,9402.210265,9394,9406,4,16,12
1208,9410,7.783292,9402.216708,9394,9406,4,16,12
1209,6242,5.158678,6236.841322,6210,6238,4,32,28
1210,9410,7.770438,9402.229562,9394,9406,4,16,12
1211,9410,7.764026,9402.235974,9394,9406,4,16,12
1212,7562,6.234130,7555.765870,7546,7558,4,16,12
1213,6242,5.141680,6236.858320,6210,6238,4,32,28
1214,7562,6.223868,7555.776132,7546,7558,4,16,12
1215,9410,7.738487,9402.261513,9394,9406,4,16,12
1216,9410,7.732128,9402.267872,9394,9406,4,16,12
1217,7562,6.208539,7555.791461,7546,7558,4,16,12
1218,7562,6.203445,7555.796555,7546,7558,4,16,12
1219,6242,5.116393,6236.883607,6210,6238,4,32,28
1220,9410,7.706798,9402.293202,9394,9406,4,16,12
1221,9410,7.700491,9402.299509,9394,9406,4,16,12
1222,9410,7.694195,9402.305805,9394,9406,4,16,12
1223,6733,5.500817,6727.499183,6723,6729,4,10,6
1224,9410,7.681633,9402.318367,9394,9406,4,16,12
1225,9410,7.675367,9402.324633,9394,9406,4,16,12
1226,6242,5.087205,6236.912795,6210,6238,4,32,28
1227,9410,7.662866,9402.337134,9394,9406,4,16,12
1228,9410,7.656631,9402.343369,9394,9406,4,16,12
1229,9410,7.650407,9402.349593,9394,9406,4,16,12
1230,9410,7.644192,9402.355808,9394,9406,4,16,12
1231,9410,7.637987,9402.362013,9394,9406,4,16,12
1232,7562,6.133009,7555.866991,7546,7558,4,16,12
1233,9410,7.625608,9402.374392,9394,9406,4,16,12
1234,9410,7.619433,9402.380567,9394,9406,4,16,12
1235,9410,7.613269,9402.386731,9394,9406,4,16,12
1236,9410,7.607114,9402.392886,9394,9406,4,16,12
1237,7562,6.108239,7555.891761,7546,7558,4,16,12
1238,7562,6.103309,7555.896691,7546,7558,4,16,12
1239,9410,7.588710,9402.411290,9394,9406,4,16,12
1240,7562,6.093473,7555.906527,7546,7558,4,16,12
1241,10266,8.265700,10257.734300,10250,10258,8,16,8
1243,9410,7.564309,9402.435691,9394,9406,4,16,12
1248,7562,6.054444,7555.945556,7546,7558,4,16,12
1262,7562,5.987332,7556.012668,7546,7558,4,16,12
1263,9410,7.444620,9402.555380,9394,9406,4,16,12
1273,10266,8.058085,10257.941915,10250,10258,8,16,8
1276,10202,7.989037,10194.010963,10194,10198,4,8,4
1277,10202,7.982786,10194.017214,10194,10198,4,8,4
1278,10266,8.026583,10257.973417,10250,10258,8,16,8
1279,9410,7.351562,9402.648438,9394,9406,4,16,12
1280,10266,8.014052,10257.985948,10250,10258,8,16,8
1281,9410,7.340094,9402.659906,9394,9406,4,16,12
1285,9410,7.317263,9402.682737,9394,9406,4,16,12
1287,10202,7.920807,10194.079193,10194,10198,4,8,4
1288,10320,8.006206,10311.993794,10308,10312,8,12,4
1289,9410,7.294574,9402.705426,9394,9406,4,16,12
1292,9410,7.277649,9402.722351,9394,9406,4,16,12
1293,10446,8.072643,10437.927357,10430,10438,8,16,8
1294,10446,8.066409,10437.933591,10430,10438,8,16,8
1295,10446,8.060185,10437.939815,10430,10438,8,16,8
1296,6242,4.812645,6237.187355,6210,6238,4,32,28
1297,10446,8.047766,10437.952234,10430,10438,8,16,8
1298,10446,8.041570,10437.958430,10430,10438,8,16,8
1299,7562,5.816923,7556.183077,7546,7558,4,16,12
1300,10446,8.029208,10437.970792,10430,10438,8,16,8
1301,10446,8.023041,10437.976959,10430,10438,8,16,8
1302,10446,8.016884,10437.983116,10430,10438,8,16,8
1303,10446,8.010736,10437.989264,10430,10438,8,16,8
1305,9410,7.205207,9402.794793,9394,9406,4,16,12
1306,9410,7.199694,9402.800306,9394,9406,4,16,12
1313,10202,7.764079,10194.235921,10194,10198,4,8,4
1314,7562,5.750570,7556.249430,7546,7558,4,16,12
1315,9410,7.150456,9402.849544,9394,9406,4,16,12
1316,10202,7.746393,10194.253607,10194,10198,4,8,4
1318,9410,7.134193,9402.865807,9394,9406,4,16,12
1319,7562,5.728788,7556.271212,7546,7558,4,16,12
1321,9410,7.118003,9402.881997,9394,9406,4,16,12
1322,9410,7.112623,9402.887377,9394,9406,4,16,12
1323,7562,5.711480,7556.288520,7546,7558,4,16,12
1327,9410,7.085843,9402.914157,9394,9406,4,16,12
1330,9410,7.069872,9402.930128,9394,9406,4,16,12
1332,6733,5.051013,6727.948987,6723,6729,4,10,6
1333,10202,7.647676,10194.352324,10194,10198,4,8,4
1337,9410,7.032885,9402.967115,9394,9406,4,16,12
1338,9410,7.027633,9402.972367,9394,9406,4,16,12
1339,9410,7.022388,9402.977612,9394,9406,4,16,12
1340,9410,7.017151,9402.982849,9394,9406,4,16,12
1342,9410,7.006701,9402.993299,9394,9406,4,16,12
1343,9410,7.001488,9402.998512,9394,9406,4,16,12
1344,9410,6.996283,9403.003717,9394,9406,4,16,12
1345,9410,6.991085,9403.008915,9394,9406,4,16,12
1347,9410,6.980712,9403.019288,9394,9406,4,16,12
1349,10202,7.557037,10194.442963,10194,10198,4,8,4
1350,7562,5.597335,7556.402665,7546,7558,4,16,12
1352,9410,6.954915,9403.045085,9394,9406,4,16,12
1354,9410,6.944649,9403.055351,9394,9406,4,16,12
1356,9410,6.934414,9403.065586,9394,9406,4,16,12
1357,7562,5.568483,7556.431517,7546,7558,4,16,12
1358,6733,4.954378,6728.045622,6723,6729,4,10,6
1360,9410,6.914034,9403.085966,9394,9406,4,16,12
1361,9410,6.908957,9403.091043,9394,9406,4,16,12
1362,9410,6.903888,9403.096112,9394,9406,4,16,12
1363,9410,6.898827,9403.101173,9394,9406,4,16,12
1364,9410,6.893773,9403.106227,9394,9406,4,16,12
1365,9410,6.888726,9403.111274,9394,9406,4,16,12
1366,10202,7.463058,10194.536942,10194,10198,4,8,4
1368,9410,6.873630,9403.126370,9394,9406,4,16,12
1369,9410,6.868613,9403.131387,9394,9406,4,16,12
1370,9410,6.863603,9403.136397,9394,9406,4,16,12
1371,9410,6.858601,9403.141399,9394,9406,4,16,12
1373,9410,6.848617,9403.151383,9394,9406,4,16,12
1374,9410,6.843636,9403.156364,9394,9406,4,16,12
1375,9410,6.838663,9403.161337,9394,9406,4,16,12
1376,9410,6.833696,9403.166304,9394,9406,4,16,12
1378,9410,6.823785,9403.176215,9394,9406,4,16,12
1380,9410,6.813903,9403.186097,9394,9406,4,16,12
1381,10202,7.382055,10194.617945,10194,10198,4,8,4
1384,7562,5.459928,7556.540072,7546,7558,4,16,12
1386,9410,6.784427,9403.215573,9394,9406,4,16,12
1388,9410,6.774658,9403.225342,9394,9406,4,16,12
1389,9410,6.769784,9403.230216,9394,9406,4,16,12
1391,7562,5.432471,7556.567529,7546,7558,4,16,12
1393,9410,6.750359,9403.249641,9394,9406,4,16,12
1394,10202,7.313262,10194.686738,10194,10198,4,8,4
1395,9410,6.740688,9403.259312,9394,9406,4,16,12
1396,7562,5.413028,7556.586972,7546,7558,4,16,12
1397,9410,6.731044,9403.268956,9394,9406,4,16,12
1398,9410,6.726233,9403.273767,9394,9406,4,16,12
1401,9410,6.711840,9403.288160,9394,9406,4,16,12
1402,10202,7.271561,10194.728439,10194,10198,4,8,4
1403,6733,4.795584,6728.204416,6723,6729,4,10,6
1404,9410,6.697509,9403.302491,9394,9406,4,16,12
1406,9410,6.687989,9403.312011,9394,9406,4,16,12
1407,9410,6.683239,9403.316761,9394,9406,4,16,12
1408,9410,6.678495,9403.321505,9394,9406,4,16,12
1409,10202,7.235461,10194.764539,10194,10198,4,8,4
1410,7562,5.359320,7556.640680,7546,7558,4,16,12
1411,9410,6.664306,9403.335694,9394,9406,4,16,12
1412,10202,7.220099,10194.779901,10194,10198,4,8,4
1413,9410,6.654880,9403.345120,9394,9406,4,16,12
1415,7562,5.340395,7556.659605,7546,7558,4,16,12
1416,9410,6.640790,9403.359210,9394,9406,4,16,12
1417,6733,4.748237,6728.251763,6723,6729,4,10,6
1418,10202,7.189570,10194.810430,10194,10198,4,8,4
1419,9410,6.626761,9403.373239,9394,9406,4,16,12
1420,9410,6.622097,9403.377903,9394,9406,4,16,12
1421,9410,6.617440,9403.382560,9394,9406,4,16,12
1422,9410,6.612790,9403.387210,9394,9406,4,16,12
1424,9410,6.603509,9403.396491,9394,9406,4,16,12
1425,9410,6.598878,9403.401122,9394,9406,4,16,12
1426,9410,6.594254,9403.405746,9394,9406,4,16,12
1427,9410,6.589636,9403.410364,9394,9406,4,16,12
1428,9410,6.585024,9403.414976,9394,9406,4,16,12
1430,9410,6.575821,9403.424179,9394,9406,4,16,12
1437,10202,7.094576,10194.905424,10194,10198,4,8,4
1441,9410,6.525659,9403.474341,9394,9406,4,16,12
1445,7562,5.229599,7556.770401,7546,7558,4,16,12
1446,9410,6.503110,9403.496890,9394,9406,4,16,12
1447,9410,6.498619,9403.501381,9394,9406,4,16,12
1450,10202,7.031013,10194.968987,10194,10198,4,8,4
1452,9410,6.476256,9403.523744,9394,9406,4,16,12
1453,10202,7.016506,10194.983494,10194,10198,4,8,4
1454,10202,7.011684,10194.988316,10194,10198,4,8,4
1458,9410,6.449623,9403.550377,9394,9406,4,16,12
1460,10202,6.982888,10195.017112,10194,10198,4,8,4
1461,9410,6.436389,9403.563611,9394,9406,4,16,12
1463,9410,6.427596,9403.572404,9394,9406,4,16,12
1465,9410,6.418827,9403.581173,9394,9406,4,16,12
1467,9410,6.410082,9403.589918,9394,9406,4,16,12
1469,10202,6.940136,10195.059864,10194,10198,4,8,4
1471,9410,6.392663,9403.607337,9394,9406,4,16,12
1472,10202,6.926001,10195.073999,10194,10198,4,8,4
1474,9410,6.379661,9403.620339,9394,9406,4,16,12
1476,9410,6.371022,9403.628978,9394,9406,4,16,12
1477,9410,6.366712,9403.633288,9394,9406,4,16,12
1478,9410,6.362407,9403.637593,9394,9406,4,16,12
1482,10202,6.879299,10195.120701,10194,10198,4,8,4
1484,9410,6.336700,9403.663300,9394,9406,4,16,12
1485,9410,6.332436,9403.667564,9394,9406,4,16,12
1486,9410,6.328178,9403.671822,9394,9406,4,16,12
1487,9410,6.323925,9403.676075,9394,9406,4,16,12
1490,10202,6.842388,10195.157612,10194,10198,4,8,4
1529,9410,6.150327,9403.849673,9394,9406,4,16,12
1531,9410,6.142298,9403.857702,9394,9406,4,16,12
1532,9410,6.138291,9403.861709,9394,9406,4,16,12
1535,9410,6.126302,9403.873698,9394,9406,4,16,12
1536,9410,6.122316,9403.877684,9394,9406,4,16,12
1603,9410,5.866584,9404.133416,9394,9406,4,16,12
1604,9410,5.862928,9404.137072,9394,9406,4,16,12
1605,9410,5.859278,9404.140722,9394,9406,4,16,12
1606,9410,5.855632,9404.144368,9394,9406,4,16,12
1608,9410,5.848353,9404.151647,9394,9406,4,16,12
1609,9410,5.844720,9404.155280,9394,9406,4,16,12
1612,9410,5.833850,9404.166150,9394,9406,4,16,12
1614,9410,5.826625,9404.173375,9394,9406,4,16,12
1615,9410,5.823020,9404.176980,9394,9406,4,16,12
1616,9410,5.819419,9404.180581,9394,9406,4,16,12
1621,9410,5.801480,9404.198520,9394,9406,4,16,12
1622,9410,5.797905,9404.202095,9394,9406,4,16,12
1623,9410,5.794335,9404.205665,9394,9406,4,16,12
1624,9410,5.790769,9404.209231,9394,9406,4,16,12
1625,9410,5.787208,9404.212792,9394,9406,4,16,12
1640,9410,5.734308,9404.265692,9394,9406,4,16,12
1641,9410,5.730816,9404.269184,9394,9406,4,16,12
1642,9410,5.727328,9404.272672,9394,9406,4,16,12
1643,10202,6.205596,10195.794404,10194,10198,4,8,4
1678,10202,6.076236,10195.923764,10194,10198,4,8,4
1751,9410,5.371005,9404.628995,9394,9406,4,16,12
1752,10202,5.819738,10196.180262,10194,10198,4,8,4
1753,9410,5.364880,9404.635120,9394,9406,4,16,12
1788,9410,5.259922,9404.740078,9394,9406,4,16,12
